BRA;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
160109;Chief of Navy;Alvaro de Souza;1937;1964;LWR;Indirect Approach Doctrine;Very Low;M34059;X
160110;Chief of Navy;Moreira Lima;1939;1964;SD;Power Projection Doctrine;Low;M34039;X
160111;Chief of Navy;Jorge Martins;1937;1964;ML;Base Control Doctrine;Medium;M34029;X
160112;Chief of Navy;Sylvio de Noronha;1943;1964;SC;Open Seas Doctrine;High;M34019;X
160113;Chief of Navy;Floriano Peixoto;1945;1964;SC;Decisive Naval Battle Doctrine;High;M34182;X
160114;Chief of Navy;Tarcisio Padilha;1937;1964;FA;Decisive Naval Battle Doctrine;Medium;M34049;X
160115;Chief of Air Force;Epaminondas dos Santos;1943;1964;LWR;Air Superiority Doctrine;Medium;M34040;X
160116;Chief of Air Force;Agliberto Vieira;1939;1964;ST;Naval Aviation Doctrine;Very High;M34060;X
160117;Chief of Air Force;Leonel Benevides de Rezende;1944;1964;ST;Vertical Envelopment Doctrine;Very High;M34187;X
160118;Chief of Air Force;Nero Moura;1937;1964;ML;Vertical Envelopment Doctrine;Medium;M34030;X
160119;Chief of Air Force;Figueira de Almeida;1943;1964;SC;Army Aviation Doctrine;Medium;M34020;X
160120;Chief of Air Force;Eduardo Gomés;1945;1964;SC;Army Aviation Doctrine;Medium;M34021;X
160121;Chief of Air Force;Mourão Filho;1937;1964;FA;Carpet Bombing Doctrine;Very High;M34050;X
160122;Head of State;José Linhares Filho;1945;1964;SC;Popular Figurehead;High;M34104;X
160123;Foreign Minister;Raoul Fernandes;1933;1964;SC;Great Compromiser;Medium;M34013;X
160124;Head of State;Getulio Vargas;1951;1964;SC;Die-hard Reformer;High;M34001;X
160125;Head of State;Afranio de Mello Franco;1951;1964;SD;Benevolent Gentleman;High;M34083;X
160126;Head of Government;Café Filho;1951;1964;SC;Silent Workhorse;High;M34004;X
160127;Head of Government;Afranio de Mello Franco;1951;1964;SD;Naive Optimist;High;M34083;X
160128;Foreign Minister;Manuel A. Venâncio;1951;1964;SD;Biased Intellectual;Medium;M34035;X
160129;Minister of Armament;Vicente Raõ;1951;1964;SC;Laissez-Faire Capitalist;Medium;M34200;X
160130;Minister of Armament;S. Rauliono de Oliviera;1951;1964;SD;Resource Industrialist;Medium;M34201;X
160131;Minister of Security;José de Macedo Soares;1951;1964;SC;Compassionate Gentleman;Medium;M34202;X
160132;Minister of Security;Horacio Lafér;1951;1964;SD;Crime Fighter;Medium;M34203;X
160133;Head of Military Intelligence;Raoul Fernandes;1951;1964;SC;Political Specialist;High;M34013;X
160134;Head of Military Intelligence;Horacio Lafér;1951;1964;SD;Dismal Enigma;High;M34203;X
160135;Chief of Staff;Amaury Kruel;1951;1964;SC;School of Manoeuvre;Medium;L31091;X
160136;Chief of Army;Artur da Costa é Silva;1951;1964;SC;Decisive Battle Doctrine;Medium;L31012;X
160137;Chief of Air Force;Ismael Motta Paes;1945;1964;SC;Air Superiority Doctrine;Medium;L31078;X
160138;Head of State;Afonso Augusto Moreira Pena;1906;1909;SC;Die-hard Reformer;Medium;2217;X
160139;Head of State;Nilo Procópio Peçanha;1909;1910;SC;Barking Buffoon;Medium;2835;X
160140;Head of State;Hermes Rodrigues da Fonseca;1910;1914;SC;Autocratic Charmer;Medium;2237;X
160141;Head of State;Venceslau Brás Pereira Gomes;1914;1918;SC;Benevolent Gentleman;Medium;6610;X
160142;Head of State;Delfim Moreira da Costa Ribeiro;1918;1919;SC;Ruthless Powermonger;Medium;2228;X
160143;Head of State;Epitácio Lindolfo da Silva Pessoa;1919;1922;SC;Insignificant Layman;Medium;2231;X
160144;Head of State;Artur da Silva Bernardes;1922;1926;SC;Popular Figurehead;Medium;2223;X
160145;Head of Government;Nilo Procópio Peçanha;1906;1910;SC;Flamboyant Tough Guy;Medium;2835;X
160146;Head of Government;Venceslau Brás Pereira Gomes;1910;1914;SC;Ambitious Union Boss;Medium;6610;X
160147;Head of Government;Urbano Santos da Costa Araújo;1914;1918;SC;Backroom Backstabber;Medium;6270;X
160148;Head of Government;Delfim Moreira da Costa Ribeiro;1918;1920;SC;Naive Optimist;Medium;2228;X
160149;Head of Government;Francisco Álvaro Bueno de Paiva;1920;1922;SC;Smiling Oilman;Medium;2234;X
160150;Head of Government;Estácio de Albuquerque Coimbra;1922;1926;SC;Political Protege;Medium;2233;X
160151;Foreign Minister;José Maria da Silva Paranhos Júnior;1906;1912;SC;Ideological Crusader;Medium;1671;X
160152;Foreign Minister;Enéas Martins;1912;1919;SC;Biased Intellectual;Medium;2230;X
160153;Foreign Minister;Lauro Severiano Müller;1912;1926;SC;Great Compromiser;Medium;2082;X
160154;Foreign Minister;Nilo Procópio Peçanha;1917;1924;SC;Ideological Crusader;Medium;2835;X
160155;Foreign Minister;Domício da Gama;1918;1925;SC;General Staffer;Medium;2229;X
160156;Foreign Minister;Augusto Cochrane de Alencar;1919;1927;SC;Apologetic Clerk;Medium;unknown;X
160157;Foreign Minister;José Manuel de Azevedo Marques;1919;1932;SC;The Cloak N Dagger Schemer;Medium;unknown;X
160158;Foreign Minister;José Félix Alves Pacheco;1922;1932;SC;Iron Fisted Brute;Medium;2244;X
160159;Minister of Armament;David Morethson Campista;1906;1911;SC;Laissez-Faire Capitalist;Medium;2227;X
160160;Minister of Armament;José Leopoldo de Bulhões Jardim;1909;1928;SC;Corrupt Kleptocrat;Medium;3713;X
160161;Minister of Armament;Francisco Antônio de Sales;1910;1932;SC;Air to Sea Proponent;Medium;2235;X
160162;Minister of Armament;Rivadávia da Cunha Correia;1913;1920;SC;Air to Ground Proponent;Medium;6230;X
160163;Minister of Armament;Sabino Alves Barroso Júnior;1914;1919;SC;Theoretical Scientist;Medium;6243;X
160164;Minister of Armament;João Pandiá Calógeras;1915;1932;SC;Battle Fleet Proponent;Medium;2240;X
160165;Minister of Armament;Augusto Tavares de Lira;1916;1932;SC;Submarine Proponent;Medium;2225;X
160166;Minister of Armament;Antônio Carlos Ribeiro de Andrada;1917;1932;SC;Military Entrepreneur;Medium;2221;X
160167;Minister of Armament;Amaro Bezerra Cavalcanti de Albuquerque;1918;1922;SC;Air Superiority Proponent;Medium;2219;X
160168;Minister of Armament;João Ribeiro de Oliveira e Sousa;1919;1932;SC;Administrative Genius;Medium;2241;X
160169;Minister of Armament;Homero Batista;1919;1924;SC;Infantry Proponent;Medium;2238;X
160170;Minister of Armament;Rafael de Abreu Sampaio Vidal;1922;1932;SC;Resource Industrialist;Medium;3918;X
160171;Minister of Security;Augusto Tavares de Lira;1906;1932;SC;Compassionate Gentleman;Medium;2225;X
160172;Minister of Security;Esmeraldino Olímpio Torres Bandeira;1909;1928;SC;Prince of Terror;Medium;2232;X
160173;Minister of Security;Rivadávia da Cunha Correia;1910;1920;SC;Man of the People;Medium;6230;X
160174;Minister of Security;Uladislau Herculano de Freitas Guimarães;1913;1926;SC;Crime Fighter;Medium;6268;X
160175;Minister of Security;Carlos Maximiliano Pereira dos Santos;1914;1932;SC;Compassionate Gentleman;Medium;2226;X
160176;Minister of Security;Amaro Cavalcanti Soares de Brito;1918;1922;SC;Silent Lawyer;Medium;2220;X
160177;Minister of Security;Urbano Santos da Costa Araújo;1918;1922;SC;Efficient Sociopath;Medium;6270;X
160178;Minister of Security;Alfredo Pinto Vieira de Melo;1919;1923;SC;Back Stabber;Medium;2218;X
160179;Minister of Security;Joaquim Ferreira Chaves Filho;1921;1932;SC;Man of the People;Medium;2242;X
160180;Minister of Security;João Luís Alves;1922;1925;SC;Prince of Terror;Medium;2239;X
160181;Chief of Staff;Hermes Rodrigues da Fonseca;1906;1923;SC;School of Manoeuvre;Medium;192;X
160182;Chief of Staff;Luís Mendes de Morais;1908;1914;SC;School of Fire Support;Medium;2210;X
160183;Chief of Staff;Carlos Eugênio de Andrade Guimarães;1909;1920;SC;School of Mass Combat;Medium;188;X
160184;Chief of Staff;José Bernardino Bormann;1909;1919;SC;School of Defence;Medium;196;X
160185;Chief of Staff;Emídio Dantas Barreto;1910;1932;SC;School of Psychology;Medium;189;X
160186;Chief of Staff;Antônio Adolfo da Fontoura Mena Barreto;1911;1923;SC;School of Defence;Medium;185;X
160187;Chief of Staff;Vespasiano Gonçalves de Albuquerque e Silva;1912;1924;SC;School of Fire Support;Medium;2214;X
160188;Chief of Staff;José Caetano de Faria;1914;1920;SC;School of Mass Combat;Medium;2208;X
160189;Chief of Staff;Alberto Cardoso de Aguiar;1918;1932;SC;School of Psychology;Medium;183;X
160190;Chief of Staff;João Pandiá Calógeras;1919;1932;SC;School of Manoeuvre;Medium;2240;X
160191;Chief of Staff;Fernando Setembrino de Carvalho;1922;1932;SC;School of Defence;Medium;191;X
160192;Chief of Army;Hermes Rodrigues da Fonseca;1906;1923;SC;Armoured Spearhead Doctrine;Medium;192;X
160193;Chief of Army;Luís Mendes de Morais;1908;1914;SC;Guns and Butter Doctrine;Medium;2210;X
160194;Chief of Army;Carlos Eugênio de Andrade Guimarães;1909;1920;SC;Static Defence Doctrine;Medium;188;X
160195;Chief of Army;José Bernardino Bormann;1909;1919;SC;Decisive Battle Doctrine;Medium;196;X
160196;Chief of Army;Emídio Dantas Barreto;1910;1932;SC;Elastic Defence Doctrine;Medium;189;X
160197;Chief of Army;Antônio Adolfo da Fontoura Mena Barreto;1911;1923;SC;Static Defence Doctrine;Medium;185;X
160198;Chief of Army;Vespasiano Gonçalves de Albuquerque e Silva;1912;1924;SC;Guns and Butter Doctrine;Medium;2214;X
160199;Chief of Army;José Caetano de Faria;1914;1920;SC;Elastic Defence Doctrine;Medium;2208;X
160200;Chief of Army;Alberto Cardoso de Aguiar;1918;1932;SC;Decisive Battle Doctrine;Medium;183;X
160201;Chief of Army;João Pandiá Calógeras;1919;1932;SC;Static Defence Doctrine;Medium;2240;X
160202;Chief of Army;Fernando Setembrino de Carvalho;1922;1932;SC;Armoured Spearhead Doctrine;Medium;191;X
160203;Chief of Navy;Alexandrino Faria de Alencar;1906;1926;SC;Decisive Naval Battle Doctrine;Medium;184;X
160204;Chief of Navy;Joaquim Marques Batista de Leão;1910;1913;SC;Base Control Doctrine;Medium;195;X
160205;Chief of Navy;Manuel Inácio Belfort Vieira;1912;1913;SC;Power Projection Doctrine;Medium;2211;X
160206;Chief of Navy;Vespasiano Gonçalves de Albuquerque e Silva;1913;1924;SC;Open Seas Doctrine;Medium;2214;X
160207;Chief of Navy;Antônio Coutinho Gomes Pereira;1918;1926;SC;Decisive Naval Battle Doctrine;Medium;186;X
160208;Chief of Navy;Raul Soares de Moura;1919;1924;SC;Base Control Doctrine;Medium;6168;X
160209;Chief of Navy;Joaquim Ferreira Chaves Filho;1920;1932;SC;Indirect Approach Doctrine;Medium;2242;X
160210;Chief of Navy;João Pedro da Veiga Miranda;1921;1932;SC;Open Seas Doctrine;Medium;unknown;X
160211;Chief of Air Force;José Carlos de Carvalho;1911;1912;SC;Army Aviation Doctrine;Medium;2209;X
160212;Chief of Air Force;Ricardo Kirk;1912;1915;SC;Carpet Bombing Doctrine;Medium;6228;X
160213;Chief of Air Force;Bento Ribeiro Filho;1916;1932;SC;Air Superiority Doctrine;Medium;unknown;X
160214;Head of State;Antônio Evaristo de Morais;1902;1932;LWR;Die-hard Reformer;Medium;2222;X
160215;Head of Government;Silvério Fontes;1902;1914;LWR;Ambitious Union Boss;Medium;6245;X
160216;Head of Government;Astrojildo Pereira;1914;1932;LWR;Silent Workhorse;Medium;2224;X
160217;Head of Government;Abílio de Nequete;1918;1932;LWR;Naive Optimist;Medium;2216;X
160218;Foreign Minister;Álvaro Palmeira;1902;1918;LWR;Ideological Crusader;Medium;unknown;X
160219;Foreign Minister;Silvério Fontes;1902;1928;LWR;Great Compromiser;Medium;6245;X
160220;Foreign Minister;Manuel Bomfim;1902;1932;LWR;Apologetic Clerk;Medium;2084;X
160221;Foreign Minister;Francisco Cavalcanti Pontes de Miranda;1918;1932;LWR;Biased Intellectual;Medium;2236;X
160222;Minister of Armament;José Rodrigues Leite e Oiticica;1902;1932;LWR;Resource Industrialist;Medium;1741;X
160223;Minister of Armament;Agripino Nazaré;1902;1918;LWR;Military Entrepreneur;Medium;unknown;X
160224;Minister of Armament;Maurício Paiva de Lacerda;1918;1932;LWR;Corrupt Kleptocrat;Medium;unknown;X
160225;Minister of Security;José Francisco da Rocha Pombo;1902;1932;LWR;Prince of Terror;Medium;3712;X
160226;Minister of Security;José Veríssimo Dias de Matos;1902;1916;LWR;Man of the People;Medium;2069;X
160227;Minister of Security;Manuel Bomfim;1902;1932;LWR;Compassionate Gentleman;Medium;2084;X
160228;Minister of Security;Cruz Júnior;1918;1932;LWR;Efficient Sociopath;Medium;unknown;X
160229;Head of State;H.I.M. Pedro IV;1908;1964;PA;Die-hard Reformer;High;BRA - Pedro IV;X
160230;Head of State;H.I.M. Pedro V;1940;2008;PA;Benevolent Gentleman;High;BRA - Pedro V;X
160231;Head of State;Nereu de Oliveira Ramos;1954;1964;SC;Barking Buffoon;Medium;BRA - Nereu Ramos;X
160232;Head of State;Juscelino Kubitschek de Oliveira;1956;1977;SD;Insignificant Layman;Medium;BRA - Juscelino Kubitschek;X
160233;Head of State;Jânio da Silva Quadros;1961;1993;SC;Weary Stiffneck;Medium;BRA - Janio Quadros;X
160234;Head of State;João Goulart;1961;1977;SD;Die-hard Reformer;Low;BRA - Joao Goulart;X
160235;Head of State;Humberto de Alencar Castelo Branco;1964;1968;PA;Weary Stiffneck;Medium;BRA - Castelo Branco;X
160236;Head of State;Artur da Costa e Silva;1967;1970;PA;Barking Buffoon;Medium;BRA - Costa e Silva;X
160237;Head of State;Emílio Garrastazu Médici;1969;1986;PA;Weary Stiffneck;Medium;BRA - Emilio Medici;X
160238;Head of State;Ernesto Beckmann Geisel;1974;1997;PA;Barking Buffoon;Medium;BRA - Ernesto Geisel;X
160239;Head of State;João de Oliveira Figueiredo;1980;2000;PA;Autocratic Charmer;Medium;BRA - Joao Figueiredo;X
160240;Head of State;José Sarney;1985;2020;SC;Die-hard Reformer;Medium;BRA - José Sarney;X
160241;Head of State;Fernando Collor de Mello;1990;2020;SC;Barking Buffoon;Medium;BRA - Fernando Collor;X
160242;Head of State;Itamar Cautiero Franco;1992;2020;ML;Weary Stiffneck;Medium;BRA - Itamar Franco;X
160243;Head of State;Fernando Henrique Cardoso;1995;2020;SL;Die-hard Reformer;Medium;BRA - Fernando Henrique Cardoso;X
160244;Head of State;Juarez Fernandes Távora;1956;1964;SC;Die-hard Reformer;Medium;BRA - Juarez Távora;X
160245;Head of State;Henrique Teixeira Lott;1961;1985;SD;Powerhungry Demagogue;Medium;BRA - Henrique Teixeira Lott;X
160246;Head of State;Elias Ximenes do Prado;1964;2020;SC;Weary Stiffneck;Medium;BRA - Elias Prado;X
160247;Head of State;Leonel Brizola;1964;2005;SL;Autocratic Charmer;Medium;BRA - Leonel Brizola;X
160248;Head of State;Francisco Julião;1964;1990;SD;Ruthless Powermonger;Medium;BRA - Francisco Juliao;X
160249;Head of State;Luiz Inácio Lula da Silva;1990;2020;SD;Ruthless Powermonger;Low;BRA - Lula da Silva;X
160250;Head of State;Luis Carlos Prestes;1963;1991;ST;Die-hard Reformer;High;M34051;X
160251;Head of State;Giocondo Dias;1980;1988;LE;Benevolent Gentleman;Medium;BRA - Giocondo Dias;X
160252;Head of State;Salomão Malina;1987;2003;LE;Resigned Generalissimo;Medium;BRA - Salomao Malina;X
160253;Head of State;Roberto Freire;1988;2020;LWR;Autocratic Charmer;Medium;BRA - Roberto Freire;X
160254;Head of State;Augusto Rademaker;1969;1986;FA;Resigned Generalissimo;Medium;BRA - Augusto Rademaker;X
160255;Head of State;Raimundo Padilha;1971;1989;FA;Weary Stiffneck;Medium;BRA - Raimundo Padilha;X
160256;Head of State;Márcio de Sousa Melo;1972;1991;FA;Insignificant Layman;Medium;BRA - Márcio de Sousa Melo;X
160257;Head of State;Miguel Reale;1963;2007;FA;Die-hard Reformer;Medium;BRA - Miguel Reale;X
160258;Head of State;H.I.M. Pedro IV;1908;1964;SC;Die-hard Reformer;High;BRA - Pedro IV;X
160259;Head of State;H.I.M. Pedro V;1984;2008;PA;Benevolent Gentleman;High;BRA - Pedro V_B;X
160260;Head of State;H.I.M. Pedro V;1940;2008;SC;Benevolent Gentleman;High;BRA - Pedro V;X
160261;Head of State;H.I.M. Pedro V;1984;2008;SC;Benevolent Gentleman;High;BRA - Pedro V_B;X
160262;Head of Government;Afonso Celso Junior;1914;1939;PA;Silent Workhorse;Medium;BRA - Afonso Celso Junior;X
160263;Head of Government;Gaspar Dutra;1945;1964;SC;Old General;High;M34011;X
160264;Head of Government;Nereu de Oliveira Ramos;1954;1964;SC;Happy Amateur;Medium;BRA - Nereu Ramos;X
160265;Head of Government;Juscelino Kubitschek de Oliveira;1956;1977;SD;Silent Workhorse;Medium;BRA - Juscelino Kubitschek;X
