TUR;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
45055;Chief of Navy;Ahmet Aydam Bölak;1946;1964;ML;Base Control Doctrine;Medium;M12081;X
45056;Chief of Air Force;Erkan Gataly;1943;1964;ML;Army Aviation Doctrine;Medium;M12083;X
45057;Chief of Air Force;Memduh Tagmac;1946;1964;ML;Air Superiority Doctrine;Medium;M12059;X
45058;Head of State;Nihal Atsiz;1933;1964;FA;Ruthless Powermonger;High;M12011;X
45059;Head of Government;Zeki Velidi Togan;1933;1964;FA;Old General;High;M12012;X
45060;Foreign Minister;Ali Fethi Okyar;1933;1964;PA;Ideological Crusader;Medium;M12013;X
45061;Minister of Armament;Sadi Özbek;1933;1964;FA;Air to Sea Proponent;Medium;M12014;X
45062;Head of Military Intelligence;Ali Fehti Okyar;1933;1964;PA;Dismal Enigma;Medium;M12013;X
45063;Chief of Staff;Mustafa Ismet Inönü;1933;1964;PA;School of Defence;Medium;M12002;X
45064;Chief of Army;Alparslan Türkes;1933;1964;FA;Guns and Butter Doctrine;Medium;M12018;X
45065;Chief of Navy;Rauf Orbay;1933;1964;FA;Base Control Doctrine;Medium;M12019;X
45066;Chief of Air Force;Sadi Özbek;1933;1964;PA;Naval Aviation Doctrine;Medium;M12014;X
45067;Head of State;Sefik Hüsnü;1933;1964;ST;Stern Imperialist;High;M12021;X
45068;Head of Government;Pertev Naili Boratav;1933;1964;ST;Naive Optimist;High;M12022;X
45069;Foreign Minister;Nazim Hikmet Ran;1933;1964;ST;The Cloak N Dagger Schemer;Medium;M12023;X
45070;Minister of Armament;Refik Saydam;1933;1964;LWR;Infantry Proponent;Medium;3383;X
45071;Chief of Staff;Abbas Cevat;1933;1964;LWR;School of Manoeuvre;Medium;M12025;X
45072;Chief of Army;Pertev Naili Boratav;1933;1964;LWR;Elastic Defence Doctrine;Very Low;M12022;X
45073;Chief of Navy;Ismael Erim;1933;1964;LE;Decisive Naval Battle Doctrine;Medium;M12029;X
45074;Chief of Air Force;Refik Saydam;1933;1964;LE;Air Superiority Doctrine;Medium;3383;X
45075;Head of State;Mahmut Celal Bayar;1950;1964;ML;Barking Buffoon;High;3382;X
45076;Head of Government;Mehmet Recep Peker;1946;1964;SC;Political Protege;High;M12067;X
45077;Head of Government;Hassan Saka;1947;1964;SC;Happy Amateur;High;M12038;X
45078;Head of Government;Mehmet Günaltay;1949;1964;ML;Silent Workhorse;High;M12051;X
45079;Head of Government;Adnan Menderes;1950;1964;SC;Ambitious Union Boss;High;M12046;X
45080;Foreign Minister;Mehmet Fuat Köprülü;1950;1964;ML;Iron Fisted Brute;Medium;M12090;X
45081;Minister of Armament;Faik Ahmet Barutcu;1947;1964;SC;Battle Fleet Proponent;Medium;M12091;X
45082;Minister of Armament;Ismael Erim;1949;1964;SC;Resource Industrialist;Medium;M12029;X
45083;Minister of Armament;Samet Agaoglu;1950;1964;ML;Theoretical Scientist;Medium;M12093;X
45084;Minister of Armament;Fatim Rüstü Zorlu;1952;1964;ML;Administrative Genius;Medium;M12094;X
45085;Minister of Security;Refik Koraltan;1950;1964;ML;Silent Lawyer;Medium;M12095;X
45086;Head of Government;Alparslan Türkes;1941;1964;FA;Ambitious Union Boss;Medium;M12018;X
45087;Minister of Security;Alparslan Türkes;1939;1964;FA;Prince of Terror;Medium;M12018;X
45088;Head of State;Cemal Gürsel;1960;1967;ML;Popular Figurehead;High;TUR - Cemal Gürsel;X
45089;Head of State;Cevdet Sunay;1966;1983;SC;Die-hard Reformer;High;TUR - Cevdet Sunay;X
45090;Head of State;Fahri Korutürk;1973;1988;SC;Stern Imperialist;Medium;TUR - Fahri Korutürk;X
45091;Head of State;Kenan Evren;1980;2016;PA;Ruthless Powermonger;Medium;TUR - Kenan Evren;X
45092;Head of State;Turgut Özal;1989;1994;SC;Die-hard Reformer;High;TUR - Turgut Ozal;X
45093;Head of State;Süleyman Demirel;1993;2016;ML;Benevolent Gentleman;High;TUR - Süleyman Demirel;X
45094;Head of State;Alparslan Türkes;1964;1998;FA;Stern Imperialist;High;TUR - Alparslan Türkes;X
45095;Head of State;Devlet Bahceli;1997;2020;FA;Barking Buffoon;High;TUR - Devlet Bahceli;X
45096;Head of State;Asim Gündüz;1936;1971;NS;Resigned Generalissimo;High;TUR - Asim Gündüz;X
45097;Head of State;Ismet Rasin Tümtürk;1970;2002;NS;Die-hard Reformer;High;TUR - Ismet Rasin Tümtürk;X
45098;Head of Government;Cemal Gürsel;1960;1967;ML;Old General;High;TUR - Cemal Gürsel;X
45099;Head of Government;Suat Hayri Ürgüplü;1965;1982;SC;Happy Amateur;High;TUR - Suat Hayri Urgüplü;X
45100;Head of Government;Süleyman Demirel;1965;2016;ML;Political Protege;High;TUR - Süleyman Demirel;X
45101;Head of Government;Nihat Erim;1971;1999;SL;Flamboyant Tough Guy;High;TUR - Nihat Erim;X
45102;Head of Government;Ferit Melen;1972;1989;SL;Happy Amateur;High;TUR - Ferit Melen;X
45103;Head of Government;Naim Talu;1973;1999;SC;Political Protege;High;TUR - Naim Talu;X
45104;Head of Government;Bülent Ecevit;1974;2007;SD;Flamboyant Tough Guy;Medium;TUR - Bülent Ecevit;X
45105;Head of Government;Bülend Ulusu;1980;2016;PA;Political Protege;High;TUR - Bülend Ulusu;X
45106;Head of Government;Turgut Özal;1983;1989;PA;Corporate Suit;High;TUR - Turgut Ozal;X
45107;Head of Government;Yildirim Akbulut;1989;2020;SC;Naive Optimist;High;TUR - Yildirim Akbulut;X
45108;Head of Government;Tansu Çiller;1993;2020;SL;Happy Amateur;High;TUR - Tansu Ciller;X
45109;Head of Government;Necmettin Erbakan;1983;2012;PA;Naive Optimist;High;TUR - Necmettin Erbakan;X
45110;Head of Government;Osman Bölükbasi;1958;2003;PA;Ambitious Union Boss;High;TUR - Osman Bölükbasi;X
45111;Head of Government;Suat Hayri Ürgüplü;1965;1982;PA;Happy Amateur;High;TUR - Suat Hayri Urgüplü;X
45112;Head of Government;Nazim Al-Haqqani;1973;2015;PA;Silent Workhorse;High;OTT - Nazim Al-Haqqani;X
45113;Head of Government;Kadir Misiroglu;1980;2020;PA;Flamboyant Tough Guy;High;OTT - Kadir Misiroglu;X
45114;Head of Government;Necip Fazil Kisakürek;1933;1984;FA;Political Protege;High;OTT - Necip Fazil Kisakürek;X
45115;Head of Government;Reha Oguz Türkkan;1975;2011;FA;Flamboyant Tough Guy;High;TUR - Reha Oguz Türkkan;X
45116;Head of Government;Asim Gündüz;1933;1971;NS;Old General;High;TUR - Asim Gündüz;X
45117;Head of Government;Ismet Rasin Tümtürk;1970;2002;NS;Backroom Backstabber;High;TUR - Ismet Rasin Tümtürk;X
