HUN;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
105042;Foreign Minister;Endre Bajcsy-Zsilinszky;1945;1964;PA;General Staffer;Medium;M21074;X
105043;Foreign Minister;Arpád Szakasits;1945;1964;SD;Biased Intellectual;High;M21061;X
105044;Foreign Minister;Francois Deak;1933;1964;SC;Apologetic Clerk;Medium;M21076;X
105045;Foreign Minister;Ferenc Nagy;1939;1964;SC;Great Compromiser;High;M21012;X
105046;Foreign Minister;János Gyöngyösi;1944;1964;SC;Great Compromiser;Medium;M21013;X
105047;Foreign Minister;Erik Molnár;1933;1964;ST;Ideological Crusader;Medium;M21079;X
105048;Foreign Minister;Matta Zalka;1944;1964;ST;General Staffer;Medium;M21037;X
105049;Foreign Minister;László Rajk;1947;1964;ST;Iron Fisted Brute;Medium;M21035;X
105050;Minister of Armament;Jenö Rácz;1939;1964;NS;Laissez-Faire Capitalist;Medium;M21022;X
105051;Minister of Armament;Bela Imrédy de Omoravia;1933;1964;FA;Infantry Proponent;Medium;M21024;X
105052;Minister of Armament;Lajos Reményi-Schneller;1938;1964;FA;Administrative Genius;Medium;M21084;X
105053;Minister of Armament;Laszlo Endre;1944;1964;FA;Strategic Air Proponent;Medium;M21085;X
105054;Minister of Armament;Imre Oltványi;1944;1964;PA;Administrative Genius;Medium;M21086;X
105055;Minister of Armament;Edgar Keksz;1945;1964;PA;Corrupt Kleptocrat;Medium;M21073;X
105056;Minister of Armament;Etienne de Winchkler;1946;1964;PA;Resource Industrialist;Medium;M21088;X
105057;Minister of Armament;Reszö Kastner;1945;1964;SD;Administrative Genius;Medium;M21089;X
105058;Minister of Armament;Albert Apponyi;1933;1964;SC;Strategic Air Proponent;Medium;M21090;X
105059;Minister of Armament;Miklos Olgyay;1939;1964;SC;Resource Industrialist;Medium;M21014;X
105060;Minister of Armament;Béla Zsedényi;1933;1964;ST;Infantry Proponent;High;M21031;X
105061;Minister of Armament;Ernö Gerö;1939;1964;ST;Resource Industrialist;Medium;M21093;X
105062;Minister of Armament;Zoltán Vas;1946;1964;ST;Military Entrepreneur;Medium;M21034;X
105063;Minister of Security;Andor Jaross;1939;1964;NS;Prince of Terror;Medium;M21025;X
105064;Minister of Security;Gábor Vajna;1944;1964;NS;Man of the People;Medium;M21096;X
105065;Minister of Security;K. Darányi de Pusztaszentgyörgyi;1938;1964;FA;Back Stabber;Medium;M21053;X
105066;Minister of Security;Pál Teleki de Szek;1939;1964;FA;Compassionate Gentleman;Low;M21055;X
105067;Minister of Security;Ferenc Keresztes-Fischer;1941;1964;FA;Silent Lawyer;High;M21100;X
105068;Minister of Security;M. Kállay de Nagy-Kalló;1942;1964;FA;Man of the People;Medium;M21057;X
105069;Minister of Security;Kalmán Szell;1944;1964;FA;Crime Fighter;Medium;M21103;X
105070;Minister of Security;Edgar Keksz;1944;1964;PA;Crooked Kleptocrat;Medium;M21073;X
105071;Minister of Security;Laszlo Baky;1945;1964;PA;Crime Fighter;Medium;M21105;X
105072;Minister of Security;Jozsef Revay;1945;1964;SD;Crime Fighter;Medium;M21107;X
105073;Minister of Security;József Széll;1933;1964;SC;Efficient Sociopath;Medium;M21108;X
105074;Minister of Security;Miklós Bonczos;1944;1964;SC;Silent Lawyer;Medium;M21109;X
105075;Minister of Security;Mihaly Farkas;1933;1964;ST;Prince of Terror;Medium;M21110;X
105076;Minister of Security;László Rajk;1939;1964;ST;Crime Fighter;Medium;M21035;X
105077;Minister of Security;Mátyás Rákosi;1944;1964;ST;Crooked Kleptocrat;Very High;M21032;X
105078;Minister of Security;Imre Nagy;1945;1964;ST;Back Stabber;Medium;M21113;X
105079;Minister of Security;Ferenc Erdei;1947;1964;ST;Compassionate Gentleman;Medium;M21114;X
105080;Head of Military Intelligence;Ferenc Rajniss;1944;1964;NS;Dismal Enigma;Medium;M21115;X
105081;Head of Military Intelligence;Andor Jaross;1944;1964;NS;Political Specialist;Medium;M21025;X
105082;Head of Military Intelligence;Rezsö Andorka;1933;1964;FA;Technical Specialist;Medium;M21117;X
105083;Head of Military Intelligence;Mihaly Ujvári;1939;1964;FA;Logistics Specialist;High;M21118;X
105084;Head of Military Intelligence;András Zákó;1941;1964;FA;Political Specialist;Medium;M21119;X
105085;Head of Military Intelligence;Kádár Gyula;1943;1964;FA;Dismal Enigma;Medium;M21120;X
105086;Head of Military Intelligence;Edgar Keksz;1944;1964;PA;Naval Intelligence Specialist;Medium;M21073;X
105087;Head of Military Intelligence;Ferenc Keresztes-Fischer;1945;1964;PA;Industrial Specialist;Medium;M21100;X
105088;Head of Military Intelligence;Károly Peyer;1945;1964;SD;Industrial Specialist;Low;M21045;X
105089;Head of Military Intelligence;Zoltán Tildy;1933;1964;SC;Dismal Enigma;Medium;M21011;X
105090;Head of Military Intelligence;József Széll;1944;1964;SC;Political Specialist;Medium;M21108;X
105091;Head of Military Intelligence;Ernö Gerö;1933;1964;ST;Logistics Specialist;Medium;M21093;X
105092;Head of Military Intelligence;László Rajk;1946;1964;ST;Political Specialist;Medium;M21035;X
105093;Chief of Staff;Lajos Csatay von Csatai;1939;1964;NS;School of Manoeuvre;Medium;M21128;X
105094;Chief of Staff;Károlyi Beregffy;1944;1964;NS;School of Manoeuvre;Medium;M21129;X
105095;Chief of Staff;Karoly Barthá von Dálnokfalva;1938;1964;FA;School of Psychology;Medium;M21060;X
105096;Chief of Staff;Vilmos Nagy;1942;1964;FA;School of Defence;Medium;M21132;X
105097;Chief of Staff;Sandór Szurmay;1944;1964;FA;School of Fire Support;Medium;M21133;X
105098;Chief of Staff;Vilmos Röder;1945;1964;PA;School of Fire Support;Medium;M21135;X
105099;Chief of Staff;János Vörös;1933;1964;SC;School of Manoeuvre;Medium;M21017;X
105100;Chief of Staff;Matta Zalka;1933;1964;ST;School of Psychology;Medium;M21037;X
105101;Chief of Army;Lajos Csatay von Csatai;1944;1964;NS;Armoured Spearhead Doctrine;Medium;M21128;X
105102;Chief of Army;Károlyi Beregffy;1944;1964;NS;Guns and Butter Doctrine;Medium;M21129;X
105103;Chief of Army;Henrik Werth;1938;1964;FA;Static Defence Doctrine;Medium;M21142;X
105104;Chief of Army;Edgar Keksz;1942;1964;FA;Guns and Butter Doctrine;Medium;M21073;X
105105;Chief of Army;Géza Lakatos;1944;1964;FA;Elastic Defence Doctrine;Low;M21058;X
105106;Chief of Army;Béla Miklós de Dalnók;1944;1964;PA;Static Defence Doctrine;Medium;M21059;X
105107;Chief of Army;Hugó Sónyi;1945;1964;PA;Decisive Battle Doctrine;Medium;M21146;X
105108;Chief of Army;Gabor Sziszkalatay;1945;1964;SD;Guns and Butter Doctrine;Medium;M21136;X
105109;Chief of Army;Ferenc Szombathelyi;1933;1964;SC;Static Defence Doctrine;High;M21148;X
105110;Chief of Army;János Vörös;1944;1964;SC;Elastic Defence Doctrine;Medium;M21017;X
105111;Chief of Army;Nikolaj Berzin;1933;1964;ST;Decisive Battle Doctrine;Medium;M21038;X
105112;Chief of Navy;Sandor Csia;1939;1964;NS;Base Control Doctrine;Medium;M21151;X
105113;Chief of Navy;Edgar Keksz;1944;1964;PA;Base Control Doctrine;Medium;M21073;X
105114;Chief of Navy;Otto I Habsburg;1945;1964;PA;Indirect Approach Doctrine;High;M21044;X
105115;Chief of Navy;Reszö Kastner;1945;1964;SD;Base Control Doctrine;High;M21089;X
105116;Chief of Navy;Francois Deak;1933;1964;SC;Power Projection Doctrine;High;M21076;X
105117;Chief of Navy;Kálmán Hardy;1933;1964;ST;Decisive Naval Battle Doctrine;Medium;M21039;X
105118;Chief of Air Force;Sandor Maguarosy;1939;1964;NS;Army Aviation Doctrine;Medium;M21030;X
105119;Chief of Air Force;Ferenc Szálasi;1944;1964;NS;Naval Aviation Doctrine;Medium;M21021;X
105120;Chief of Air Force;Ferenc Feketehalmy-Czeydner;1938;1964;FA;Army Aviation Doctrine;Medium;M21161;X
105121;Chief of Air Force;Györghyi De Brody;1941;1964;FA;Vertical Envelopment Doctrine;Medium;M21040;X
105122;Chief of Air Force;Kálmán Ternegg-Ratz;1944;1964;PA;Army Aviation Doctrine;Medium;M21163;X
105123;Chief of Air Force;Ferenc Keresztes-Fischer;1946;1964;PA;Air Superiority Doctrine;High;M21100;X
105124;Chief of Air Force;Edgar Keksz;1945;1964;SD;Air Superiority Doctrine;Medium;M21073;X
105125;Chief of Air Force;Béla Rákosi;1933;1964;SC;Vertical Envelopment Doctrine;Medium;M21020;X
105126;Chief of Air Force;Györghyi De Brody;1933;1964;ST;Air Superiority Doctrine;Medium;M21040;X
105127;Head of State;Miklós Horthy de Nagybánya;1933;1964;SC;Resigned Generalissimo;High;M21001;X
105128;Foreign Minister;Ferenc Szálasi;1939;1964;NS;Iron Fisted Brute;Medium;M21021;X
105129;Head of Military Intelligence;Sandor Csia;1939;1964;NS;Industrial Specialist;Medium;M21151;X
105130;Chief of Army;Ferenc Feketehalmy-Czeydner;1939;1964;NS;Elastic Defence Doctrine;Medium;M21161;X
105131;Head of State;Géza Lakatos;1944;1964;PA;Resigned Generalissimo;High;M21058;X
105132;Chief of Staff;Gabor Sziszkalatay;1947;1964;ST;School of Psychology;Medium;M21136;X
105133;Head of Government;Ferenc Keresztes-Fischer;1942;1964;FA;Happy Amateur;High;M21100;X
105134;Foreign Minister;Pál Teleki de Szek;1941;1964;FA;Great Compromiser;High;M21055;X
105135;Foreign Minister;Ferenc Keresztes-Fischer;1942;1964;FA;Apologetic Clerk;High;M21100;X
105136;Foreign Minister;M. Kállay de Nagy-Kalló;1942;1964;FA;General Staffer;High;M21057;X
105137;Foreign Minister;Jenö Ghyczy;1943;1964;FA;Apologetic Clerk;High;M21179;X
105138;Head of State;Arpád Szakasits;1948;1964;ST;Insignificant Layman;High;M21061;X
105139;Head of State;Sandor Ronai;1950;1964;ST;Popular Figurehead;High;M21181;X
105140;Head of State;Istvan Dobi;1952;1964;ST;Autocratic Charmer;High;M21182;X
105141;Head of Government;Lajos Dinnyes;1947;1964;ST;Happy Amateur;High;M21183;X
105142;Head of Government;Istvan Dobi;1948;1964;ST;Ambitious Union Boss;High;M21182;X
105143;Head of Government;Imre Nagy;1953;1964;ST;Naive Optimist;High;M21113;X
105144;Foreign Minister;Gyula Kallai;1948;1964;ST;The Cloak N Dagger Schemer;Medium;M21186;X
105145;Foreign Minister;Karoly Kiss;1952;1964;ST;Apologetic Clerk;Medium;M21187;X
105146;Minister of Armament;Imre Horvath;1952;1964;ST;Theoretical Scientist;Medium;M21188;X
105147;Minister of Security;Janos Kadar;1952;1964;ST;Back Stabber;Very High;M21189;X
105148;Chief of Navy;Miklós Horthy;1914;1933;PA;Decisive Naval Battle Doctrine;Medium;M21001;X
105149;Foreign Minister;Mihály Károlyi;1914;1933;SL;Undistinguished Suit;Medium;3864;X
105150;Foreign Minister;Antal Dovcsák;1914;1933;LE;Ideological Crusader;Medium;unknown;X
105151;Head of Government;Mihály Károlyi;1914;1933;SL;Backroom Backstabber;Medium;3864;X
105152;Head of Government;Sándor Garbai;1914;1933;ST;Flamboyant Tough Guy;Medium;3865;X
105153;Head of Government;István Friedrich;1919;1933;SD;Naive Optimist;Medium;3866;X
105154;Head of Government;Sándor Simonyi-Semadam;1920;1933;SD;Political Protege;Medium;3867;X
105155;Head of State;Mihály Károlyi;1914;1933;SL;Insignificant Layman;Medium;3864;X
105156;Head of State;Miklós Horthy;1914;1933;PA;Autocratic Charmer;Medium;M21001;X
105157;Head of State;Belá Kun;1914;1933;ST;Die-hard Reformer;Medium;3868;X
105158;Head of State;Archduke Josef;1919;1933;ML;Popular Figurehead;Medium;3869;X
105159;Head of State;Karl;1920;1933;SL;Popular Figurehead;Medium;3870;X
105160;Head of State;Mihály Károlyi;1933;1957;SL;Insignificant Layman;Medium;HUN - Mihály Károlyi;X
105161;Head of State;Mihály II Károlyi de Nagykároly;1933;1957;PA;Insignificant Layman;Medium;HUN - Mihály Károlyi;X
105162;Head of State;Miklós Horthy de Nagybánya II;1956;1994;PA;Pig-headed Isolationist;High;HUN - Miklós Horthy II;X
105163;Head of State;H.M. Gyula I Cseszneky;1933;1971;PA;Benevolent Gentleman;High;HUN - Gyula Cseszneky;X
105164;Head of State;H.M. Pál I Esterházy;1933;1990;PA;Popular Figurehead;High;HUN - Pal V Esterházy;X
105165;Head of State;H.M. Fidél I Pálffy;1933;1971;NS;Die-hard Reformer;High;HUN - Fidél Pálffy;X
105166;Head of State;H.M. Maria II Pálffy;1972;1992;NS;Insignificant Layman;High;unknownminister;X
105167;Head of State;Arpád Szakasits;1933;1964;SD;Ruthless Powermonger;Medium;M21061;X
105168;Head of State;Mátyás Szurös;1963;2020;SD;Popular Figurehead;Medium;HUN - Mátyás Szurös;X
105169;Head of State;Miklós Bánffy;1933;1950;SL;Weary Stiffneck;Medium;HUN - Miklós Bánffy;X
105170;Head of State;S.K.u.K.M. Otto II von Habsburg;1933;1964;ML;Benevolent Gentleman;High;M21044;X
105171;Head of State;S.K.u.K.M. Otto II von Habsburg;1963;2012;ML;Benevolent Gentleman;High;U09 - Otto von Habsburg;X
105172;Head of State;Arpad Göncz;1963;2016;ML;Benevolent Gentleman;High;HUN - Arpad Göncz;X
105173;Head of State;Sándor Rácz;1964;2014;SC;Die-hard Reformer;High;HUN - Sándor Rácz;X
105174;Head of State;Gergely Pongrátz;1964;2005;PA;Resigned Generalissimo;High;HUN - Gergely Pongrátz;X
105175;Head of State;István Antal;1945;1976;FA;Barking Buffoon;High;HUN - István Antal;X
105176;Head of State;Arpad Henney;1955;1981;NS;Weary Stiffneck;High;HUN - Arpad Henney;X
105177;Head of State;Mihály Pünkösti;1969;1993;NS;Reformist Soldierhos;High;HUN - Mihály Pünkösti;X
105178;Head of State;Miklós Horthy de Nagybánya II;1956;1994;ML;Pig-headed Isolationist;High;HUN - Miklós Horthy II;X
105179;Head of State;H.M. Gyula I Cseszneky;1933;1971;SC;Benevolent Gentleman;High;HUN - Gyula Cseszneky;X
105180;Head of State;H.M. Pál I Esterházy;1933;1990;SC;Popular Figurehead;High;HUN - Pal V Esterházy;X
105181;Head of State;S.K.u.K.M. Otto II von Habsburg;1933;1964;PA;Benevolent Gentleman;High;M21044;X
105182;Head of State;S.K.u.K.M. Otto II von Habsburg;1963;2012;PA;Benevolent Gentleman;High;U09 - Otto von Habsburg;X
105183;Head of Government;Ferenc Szálasi;1933;1964;NS;Flamboyant Tough Guy;High;M21021;X
105184;Head of Government;Lajos Dinnyes;1947;1964;ML;Happy Amateur;High;M21183;X
105185;Head of Government;Károly Peyer;1933;1964;SD;Naive Optimist;High;M21045;X
105186;Head of Government;Miklós Takács;1956;1968;SD;Silent Workhorse;High;HUN - Miklós Takács;X
105187;Head of Government;Miklós Németh;1967;2020;SD;Happy Amateur;Medium;HUN - Miklós Németh;X
105188;Head of Government;Károly Rassay;1933;1964;SL;Political Protege;High;HUN - Károly Rassay;X
105189;Head of Government;Reszö Kastner;1947;1992;SL;Naive Optimist;Medium;M21089;X
105190;Head of Government;Gyula Horn;1980;2014;SL;Backroom Backstabber;Medium;HUN - Gyula Horn;X
105191;Head of Government;Endre Bajcsy-Zsilinszky;1933;1964;SC;Flamboyant Tough Guy;High;M21074;X
105192;Head of Government;József Antall;1963;1994;SC;Flamboyant Tough Guy;High;HUN - József Antall;X
105193;Head of Government;Gergely Pongrátz;1963;2005;PA;Old General;High;HUN - Gergely Pongrátz;X
105194;Head of Government;Lajos Für;1980;2014;PA;Ambitious Union Boss;High;HUN - Lajos Für;X
105195;Head of Government;István Antal;1945;1976;FA;Backroom Backstabber;High;HUN - István Antal;X
105196;Head of Government;Ferenc Farkas de Kisbarnak;1955;1981;FA;Reformist Soldierhog;High;L31125;X
105197;Head of Government;Arpad Henney;1955;1981;NS;Weary Stiffneck;High;HUN - Arpad Henney;X
105198;Head of Government;Mihály Pünkösti;1969;1993;NS;Reformist Soldierhog;High;HUN - Mihály Pünkösti;X
