FIN;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
145034;Head of Government;Urho J. Castrén;1944;1964;SC;Corporate Suit;High;M29064;X
145035;Head of Government;Bruno A. Salmiala;1933;1964;FA;Flamboyant Tough Guy;High;M29011;X
145036;Head of Government;Otto Ville Kuusinen;1939;1964;ST;Flamboyant Tough Guy;High;2513;X
145037;Foreign Minister;Anselmi Pitkäsilta;1933;1964;SD;Apologetic Clerk;Medium;M29067;X
145038;Foreign Minister;Väinö A. Tanner;1939;1964;SC;Ideological Crusader;Medium;2519;X
145039;Foreign Minister;Väinö Kivisalo;1943;1964;SD;Iron Fisted Brute;Very High;2514;X
145040;Foreign Minister;Eino R. Holsti;1933;1964;ML;Great Compromiser;Medium;M29071;X
145041;Foreign Minister;K. Väinö Voionmaa;1938;1964;ML;Apologetic Clerk;Medium;M29072;X
145042;Foreign Minister;Juho E. Erkko;1938;1964;ML;Biased Intellectual;Medium;M29073;X
145043;Foreign Minister;Rolf J. Witting;1940;1964;SC;The Cloak N Dagger Schemer;Medium;2520;X
145044;Foreign Minister;Carl J. Enckell;1944;1964;SD;Great Compromiser;Medium;2521;X
145045;Foreign Minister;Arvi A. Oksala;1933;1964;SC;General Staffer;Medium;2504;X
145046;Foreign Minister;Carl Ramsay;1943;1964;SC;Iron Fisted Brute;Medium;M29077;X
145047;Foreign Minister;Johan W. Rangell;1946;1964;SC;Biased Intellectual;High;M29059;X
145048;Foreign Minister;Hilja E. Riipinen;1933;1964;FA;Ideological Crusader;High;2522;X
145049;Foreign Minister;Otto Ville Kuusinen;1939;1964;ST;Apologetic Clerk;Low;2513;X
145050;Foreign Minister;Hella M. Wuolijoki;1942;1964;ST;Great Compromiser;Low;2523;X
145051;Minister of Armament;V. Viljam Sinisalo;1933;1964;SD;Strategic Air Proponent;Medium;M29082;X
145052;Minister of Armament;Karl-August Fagerholm;1943;1964;SD;Laissez-Faire Capitalist;Medium;2524;X
145053;Minister of Armament;Mauno Pekkala;1944;1964;SD;Theoretical Scientist;Medium;2516;X
145054;Minister of Armament;Otto Toivonen;1946;1964;SD;Military Entrepreneur;Medium;M29085;X
145055;Minister of Armament;Juho Niukkanen;1933;1964;ML;Administrative Genius;Medium;2525;X
145056;Minister of Armament;Aimo K. Cajander;1939;1964;ML;Resource Industrialist;Medium;2517;X
145057;Minister of Armament;Kyösti Kallio;1941;1964;ML;Laissez-Faire Capitalist;High;2511;X
145058;Minister of Armament;Väinö L. R. Valve;1944;1964;ML;Military Entrepreneur;Medium;428;X
145059;Minister of Armament;Jarl F. Lundqvist;1946;1964;ML;Air to Sea Proponent;Very High;2507;X
145060;Minister of Armament;Antti V. Hackzell;1933;1964;SC;Battle Fleet Proponent;Medium;2503;X
145061;Minister of Armament;Pehr E. Svinhufvud;1933;1964;SC;Tank Proponent;High;2501;X
145062;Minister of Armament;Leonard A. M. Grandell;1939;1964;SC;Laissez-Faire Capitalist;Medium;392;X
145063;Minister of Armament;Juho K. Paasikivi;1941;1964;SC;Resource Industrialist;High;2509;X
145064;Minister of Armament;Urho J. Castrén;1943;1964;SC;Infantry Proponent;High;M29064;X
145065;Minister of Armament;Edwin J. H. Linkomies;1944;1964;SC;Administrative Genius;Medium;M29063;X
145066;Minister of Armament;Georg A. de Gripenberg;1946;1964;SC;Strategic Air Proponent;High;M29097;X
145067;Minister of Armament;K. Rudolf Walden;1944;1964;PA;Resource Industrialist;Medium;431;X
145068;Minister of Armament;Juho Niukkanen;1933;1964;FA;Tank Proponent;Medium;2525;X
145069;Minister of Armament;I. Vihtori I. Kosola;1941;1964;FA;Infantry Proponent;Low;2512;X
145070;Minister of Armament;Mauritz F. Rosenberg;1939;1964;ST;Resource Industrialist;Low;2526;X
145071;Minister of Security;Urho K. Kekkonen;1933;1964;ML;Compassionate Gentleman;Medium;2515;X
145072;Minister of Security;Hugo E. Aattela;1943;1964;SD;Prince of Terror;Medium;2527;X
145073;Minister of Security;Valfrid Eskola;1944;1964;SD;Back Stabber;Medium;2528;X
145074;Minister of Security;Olavi I. Kajala;1946;1964;SD;Crime Fighter;Medium;2529;X
145075;Chief of Air Force;Richard Lorentz;1933;1964;ML;Air Superiority Doctrine;Medium;437;X
145076;Minister of Security;Ernst V. L. von Born;1941;1964;ML;Silent Lawyer;Medium;2530;X
145077;Minister of Security;Väinö L. R. Valve;1943;1964;ML;Compassionate Gentleman;Medium;428;X
145078;Minister of Security;Leo R. Ehrnrooth;1944;1964;ML;Man of the People;Medium;2531;X
145079;Minister of Security;Yrjö K. Leino;1945;1964;ML;Efficient Sociopath;Medium;M29025;X
145080;Minister of Security;Kaarlo H. Hillilä;1946;1964;ML;Prince of Terror;Medium;M29111;X
145081;Minister of Security;Toivo J. Horelli;1933;1964;SC;Compassionate Gentleman;Medium;2532;X
145082;Minister of Security;Esko Riekki;1937;1964;SC;Crime Fighter;High;2506;X
145083;Minister of Security;Johan W. Rangell;1939;1964;SC;Man of the People;High;M29059;X
145084;Minister of Security;Kyösti N. Järvinen;1943;1964;SC;Silent Lawyer;Medium;2518;X
145085;Minister of Security;Risto H. Ryti;1946;1964;SC;Back Stabber;High;2510;X
145086;Minister of Security;Jouko Itälä;1933;1964;FA;Prince of Terror;Low;M29015;X
145087;Minister of Security;Bruno A. Salmiala;1943;1964;FA;Back Stabber;Medium;M29011;X
145088;Minister of Security;Yrjö K. Leino;1939;1964;ST;Man of the People;Low;M29025;X
145089;Head of Military Intelligence;Edvard Kajala;1933;1964;SD;Naval Intelligence Specialist;High;M29120;X
145090;Head of Military Intelligence;Bruno Suviranta;1944;1964;SD;Dismal Enigma;High;2533;X
145091;Head of Military Intelligence;Hjalmar J. F. Procopé;1941;1964;ML;Political Specialist;High;2534;X
145092;Minister of Armament;B. Rainer von Fieandt;1943;1964;ML;Laissez-Faire Capitalist;High;M29124;X
145093;Head of Military Intelligence;Yrjö W. Puhakka;1933;1964;SC;Dismal Enigma;Medium;2505;X
145094;Head of Military Intelligence;Väinö L. R. Valve;1939;1964;SC;Naval Intelligence Specialist;High;428;X
145095;Head of Military Intelligence;Toivo M. Kivimäki;1943;1964;SC;Logistics Specialist;High;2502;X
145096;Head of Military Intelligence;Georg A. de Gripenberg;1944;1964;SC;Industrial Specialist;High;M29097;X
145097;Head of Military Intelligence;Vilho Annala;1933;1964;FA;Dismal Enigma;Medium;2535;X
145098;Head of Military Intelligence;I. Vihtori I. Kosola;1944;1964;FA;Industrial Specialist;Medium;2512;X
145099;Head of Military Intelligence;Tuure V. Lehén;1939;1964;ST;Political Specialist;High;2536;X
145100;Chief of Staff;Leonard A. M. Grandell;1933;1964;SD;School of Fire Support;Very High;392;X
145101;Chief of Staff;Hugo V. Österman;1933;1964;SC;School of Mass Combat;Medium;436;X
145102;Chief of Staff;C. Gustaf E. Mannerheim;1940;1964;SC;School of Defence;Very High;2508;X
145103;Chief of Staff;Kurt M. Wallenius;1933;1964;FA;School of Psychology;High;432;X
145104;Chief of Staff;Akseli Anttila;1939;1964;ST;School of Mass Combat;Very High;2537;X
145105;Chief of Army;K. Väinö Voionmaa;1933;1964;SD;Guns and Butter Doctrine;Very High;M29140;X
145106;Chief of Army;K. Lennart Oesch;1933;1964;SC;Elastic Defence Doctrine;High;412;X
145107;Chief of Army;C. Gustaf E. Mannerheim;1933;1964;SC;Decisive Battle Doctrine;Very High;2508;X
145108;Chief of Army;Vilho V. P. Helanen;1933;1964;FA;Static Defence Doctrine;High;M29018;X
145109;Chief of Army;Akseli Anttila;1939;1964;ST;Guns and Butter Doctrine;Very High;2537;X
145110;Chief of Navy;Claes Hörölä;1933;1964;SD;Open Seas Doctrine;High;M29148;X
145111;Chief of Navy;Eero Rahola;1933;1964;SC;Power Projection Doctrine;High;M29150;X
145112;Chief of Navy;Lauri T. Tiainen;1933;1964;FA;Decisive Naval Battle Doctrine;Medium;2538;X
145113;Chief of Navy;Eero Rahola;1939;1964;ST;Indirect Approach Doctrine;Very High;M29029;X
145114;Chief of Air Force;V. V. Valtsu Porvari;1933;1964;SD;Army Aviation Doctrine;Very High;2539;X
145115;Chief of Air Force;Toivo Somerto;1933;1964;SC;Air Superiority Doctrine;Very High;M29155;X
145116;Chief of Air Force;Tauno Viljanen;1933;1964;FA;Army Aviation Doctrine;Medium;430;X
145117;Chief of Air Force;Akseli Anttila;1939;1964;ST;Army Aviation Doctrine;Very High;2537;X
145118;Foreign Minister;Carl J. A. Enckell;1944;1964;PA;Biased Intellectual;Medium;2521;X
145119;Head of Government;K. Rudolf Walden;1940;1964;SC;Happy Amateur;Medium;431;X
145120;Head of Government;Edwin J. H. Linkomies;1943;1964;PA;Naive Optimist;High;M29063;X
145121;Head of State;Kyösti Kallio;1937;1964;ML;Stern Imperialist;High;2511;X
145122;Head of State;C. Gustaf E. Mannerheim;1944;1964;ML;Resigned Generalissimo;High;2508;X
145123;Head of Government;Karl-August Fagerholm;1948;1964;SD;Ambitious Union Boss;High;2524;X
145124;Minister of Armament;Ralf J. G. Törngren;1948;1964;SD;Military Entrepreneur;Medium;2540;X
145125;Minister of Security;Karl-August Fagerholm;1948;1964;SD;Man of the People;Medium;2524;X
145126;Foreign Minister;Åke H. Gartz;1950;1964;ML;Apologetic Clerk;Medium;2541;X
145127;Foreign Minister;Sakari S. Tuomioja;1951;1964;ML;Biased Intellectual;Medium;2542;X
145128;Foreign Minister;Urho K. Kekkonen;1952;1964;ML;Iron Fisted Brute;Medium;2515;X
145129;Minister of Armament;Onni A. Hiltunen;1950;1964;ML;Infantry Proponent;Very High;2543;X
145130;Minister of Armament;Väino J. Sukselainen;1951;1964;ML;Administrative Genius;Very High;2544;X
145131;Minister of Armament;Viljo J. Rantala;1952;1964;ML;Laissez-Faire Capitalist;Very High;M29172;X
145132;Chief of Staff;Johannes Sihvo;1948;1964;SL;School of Psychology;Very High;419;X
145133;Chief of Army;K. Lauri T. Malmberg;1947;1964;SL;Armoured Spearhead Doctrine;Very High;407;X
145134;Chief of Navy;Jouko O. Arho;1948;1964;SL;Indirect Approach Doctrine;Medium;L9757;X
145135;Chief of Air Force;Olavi Sarko;1948;1964;SL;Vertical Envelopment Doctrine;Very High;L9777;X
145136;Head of Military Intelligence;Johan V. Arajuuri;1933;1964;SC;Dismal Enigma;Medium;387;X
145137;Chief of Air Force;Carl Seber;1914;1933;ML;Air Superiority Doctrine;Very High;8961;X
145138;Chief of Army;Carl Mannerheim;1914;1933;ML;Decisive Battle Doctrine;Medium;8959;X
145139;Chief of Army;Johannes Ignatius;1914;1933;ML;Decisive Battle Doctrine;Very High;8977;X
145140;Chief of Army;Eero Haapalainen;1914;1933;ST;Decisive Battle Doctrine;Very High;unknown;X
145141;Chief of Army;Adolf Taimi;1914;1933;ST;Elastic Defence Doctrine;Very High;unknown;X
145142;Chief of Army;Evert Eloranta;1914;1933;ST;Guns and Butter Doctrine;Very High;unknown;X
145143;Chief of Army;Ali Aaltonen;1914;1933;ST;Static Defence Doctrine;Very High;unknown;X
145144;Chief of Army;Heikki Kaljunen;1914;1933;ST;Armoured Spearhead Doctrine;Very High;unknown;X
145145;Chief of Navy;Vilho Nenonen;1914;1933;ML;Base Control Doctrine;High;3759;X
145146;Chief of Staff;Carl Mannerheim;1914;1933;ML;School of Defence;High;8959;X
145147;Chief of Staff;Wilhelm Thesleff;1914;1933;ML;School of Psychology;Very High;unknown;X
145148;Chief of Staff;August Wesley;1914;1933;ST;School of Psychology;Very High;unknown;X
145149;Chief of Staff;O. Kallio;1914;1933;ST;School of Fire Support;Very High;unknown;X
145150;Chief of Staff;Edvard Gylling;1914;1933;ST;School of Mass Combat;Very High;unknown;X
145151;Chief of Staff;Ernst Hausen;1914;1933;ST;School of Manoeuvre;Very High;unknown;X
145152;Foreign Minister;Carl Enckell;1914;1933;ML;Apologetic Clerk;Medium;8957;X
145153;Foreign Minister;Eino R. Holsti;1914;1933;SL;Biased Intellectual;Medium;M29071;X
145154;Foreign Minister;Hjalmar J. Procope;1924;1933;ML;Biased Intellectual;Medium;unknown;X
145155;Foreign Minister;Juho Vennola;1922;1933;SL;Great Compromiser;Medium;8990;X
145156;Foreign Minister;Otto Stenroth;1914;1933;ML;Ideological Crusader;Medium;9001;X
145157;Foreign Minister;Yrjö Sirola;1914;1933;ST;Iron Fisted Brute;Very High;unknown;X
145158;Head of Government;Otto Ville Kuusinen;1914;1933;ST;Flamboyant Tough Guy;Very High;2513;X
145159;Head of Government;Kullervo Manner;1914;1933;ST;Silent Workhorse;Medium;unknown;X
145160;Head of Government;Juho Paasikivi;1914;1933;ML;Political Protege;Medium;8979;X
145161;Head of Government;Lauri Ingman;1914;1933;ML;Naive Optimist;Medium;8994;X
145162;Head of Government;Kaarlo Castrén;1914;1933;SL;Happy Amateur;Medium;8982;X
145163;Head of Government;Juho Vennola;1914;1933;SL;Flamboyant Tough Guy;Medium;8980;X
145164;Head of Government;Rafael Erich;1920;1933;ML;Corporate Suit;Medium;9004;X
145165;Head of Government;Aimo Cajander;1922;1933;SL;Backroom Backstabber;Medium;2553;X
145166;Head of Government;Kyösti Kallio;1922;1933;ML;Ambitious Union Boss;Medium;2511;X
145167;Head of Government;Pehr Svinhufvud;1914;1933;ML;Naive Optimist;Medium;2501;X
145168;Head of Military Intelligence;Onni Talas;1914;1933;SL;Political Specialist;High;unknown;X
145169;Head of Military Intelligence;O. Kallio;1914;1933;ST;Industrial Specialist;High;unknown;X
145170;Head of State;Pehr Svinhufvud;1914;1933;ML;Benevolent Gentleman;High;2501;X
145171;Head of State;H.M. Väinö I;1914;1933;FA;Autocratic Charmer;Medium;8967;X
145172;Head of State;Kullervo Manner;1914;1933;ST;Die-hard Reformer;Medium;unknown;X
145173;Head of State;Kaarlo Ståhlberg;1914;1933;ML;Ruthless Powermonger;Medium;8985;X
145174;Head of State;Lauri Relander;1914;1933;ML;Weary Stiffneck;Medium;unknown;X
145175;Head of State;Otto Ville Kuusinen;1914;1933;ST;Ruthless Powermonger;Medium;2513;X
145176;Minister of Armament;Kaarlo Castrén;1914;1933;SL;Administrative Genius;Medium;8982;X
145177;Minister of Armament;Hugo Relander;1924;1933;ML;Administrative Genius;Medium;unknown;X
145178;Minister of Armament;Yrjö Pulkkinen;1924;1933;ML;Administrative Genius;Medium;unknown;X
145179;Minister of Armament;Oskari Tokoi;1914;1933;ST;Military Entrepreneur;High;3770;X
145180;Minister of Armament;Otto Lundson;1914;1933;SL;Military Entrepreneur;Medium;unknown;X
145181;Minister of Armament;Ernst Gråsten;1922;1933;ML;Military Entrepreneur;Medium;unknown;X
145182;Minister of Armament;Juhani Arajärvi;1914;1933;ML;Resource Industrialist;Medium;2559;X
145183;Minister of Armament;August Ramsay;1914;1933;SL;Resource Industrialist;Medium;unknown;X
145184;Minister of Armament;Jonathan Wartiovaara;1920;1933;ML;Resource Industrialist;Medium;unknown;X
145185;Minister of Armament;Risto Ryti;1921;1933;SL;Resource Industrialist;Medium;2510;X
145186;Minister of Armament;Jalo Kohonen;1914;1933;ST;Theoretical Scientist;High;unknown;X
145187;Minister of Armament;Edvard Gylling;1914;1933;ST;Corrupt Kleptocrat;High;unknown;X
145188;Minister of Security;Antti Tulenheimo;1914;1933;ML;Compassionate Gentleman;Medium;8952;X
145189;Minister of Security;Albert von Hellens;1920;1933;ML;Compassionate Gentleman;Medium;8950;X
145190;Minister of Security;Carl Voss-Schrader;1914;1933;SL;Crime Fighter;Medium;unknown;X
145191;Minister of Security;Heikki Ritavuori;1914;1933;SL;Crime Fighter;Medium;8974;X
145192;Minister of Security;Heimo Helminen;1922;1933;ML;Crime Fighter;Medium;unknown;X
145193;Minister of Security;Jonas Castrén;1914;1933;ML;Silent Lawyer;Medium;unknown;X
145194;Minister of Security;Yrjö Eskelä;1922;1933;SL;Silent Lawyer;Medium;unknown;X
145195;Minister of Security;Vilkku Joukahainen;1922;1933;SL;Silent Lawyer;Medium;9012;X
145196;Minister of Security;Georg Sahlstein;1924;1933;ML;Silent Lawyer;Medium;8970;X
145197;Minister of Security;Lauri Letonmäki;1914;1933;ST;Back Stabber;High;unknown;X
145198;Minister of Security;Antti Kiviranta;1914;1933;ST;Efficient Sociopath;High;unknown;X
145199;Head of State;Urho K. Kekkonen;1956;1987;ML;Ruthless Powermonger;Medium;2515;X
145200;Head of State;Mauno Koivisto;1982;2018;SL;Pig-headed Isolationist;Medium;FIN - Mauno Koivisto;X
145201;Head of State;Martti Ahtisaari;1994;2020;SL;Popular Figurehead;Medium;FIN - Martti Ahtisaari;X
145202;Head of State;Tarja Halonen;2000;2020;SD;Benevolent Gentleman;Medium;FIN - Tarja Halonen;X
145203;Head of State;Paavo Väyrynen;1988;2020;SC;Benevolent Gentleman;High;FIN - Paavo Väyrynen;X
145204;Head of State;Elisabeth Rehn;1994;2020;ML;Autocratic Charmer;Medium;FIN - Elisabeth Rehn;X
145205;Head of State;Esko Aho;2000;2020;SC;Popular Figurehead;Medium;FIN - Esko Aho;X
145206;Head of State;H.M. Väinö I;1933;1941;SC;Autocratic Charmer;Medium;8967;X
145207;Head of State;H.M. Moritz I;1940;1971;SC;Benevolent Gentleman;High;GER - Prince Wolfgang of Hess;X
145208;Head of State;H.M. Henrik I;1988;2000;SC;Insignificant Layman;High;GER - Prince Heinrich of Hess-Kassel;X
145209;Head of State;H.M. Moritz I;1970;1990;SC;Benevolent Gentleman;High;GER - Prince Wolfgang of Hess_B;X
145210;Head of State;Unto Parvilahti;1940;1971;NS;Die-hard Reformer;High;FIN - Unto Parvilahti;X
145211;Head of State;Karl-Erik Ladau;1969;2010;NS;Reformist Soldierhos;High;FIN - Karl-Erik Ladau;X
145212;Head of State;Risto Teinonen;1995;2020;NS;Ruthless Powermonger;High;FIN - Risto Teinonen;X
145213;Head of State;H.M. Moritz I;1940;1971;FA;Benevolent Gentleman;High;GER - Prince Wolfgang of Hess;X
145214;Head of State;H.M. Henrik I;1988;2000;PA;Insignificant Layman;High;GER - Prince Heinrich of Hess-Kassel;X
145215;Head of State;H.M. Moritz I;1970;1990;FA;Benevolent Gentleman;High;GER - Prince Wolfgang of Hess_B;X
145216;Head of Government;V. J. Sukselainen;1958;1996;ML;Naive Optimist;High;2544;X
145217;Head of Government;Ahti Karjalainen;1962;1991;ML;Smiling Oilman;High;FIN - Ahti Karjalainen;X
145218;Head of Government;Johannes Virolainen;1964;2000;SC;Ambitious Union Boss;High;FIN - Johannes Virolainen;X
145219;Head of Government;Rafael Paasio;1966;1981;SD;Silent Workhorse;Medium;FIN - Rafael Paasio;X
145220;Head of Government;Mauno Koivisto;1966;1982;SL;Ambitious Union Boss;Medium;FIN - Mauno Koivisto;X
145221;Head of Government;Kalevi Sorsa;1972;2004;SL;Silent Workhorse;Medium;FIN - Kalevi Sorsa;X
145222;Head of Government;Martti Miettunen;1975;2003;SC;Flamboyant Tough Guy;Medium;FIN - Martti Miettunen;X
145223;Head of Government;Harri Holkeri;1979;2012;SC;Happy Amateur;Medium;FIN - Harri Holkeri;X
145224;Head of Government;Esko Aho;1991;2020;SC;Corporate Suit;Medium;FIN - Esko Aho;X
145225;Head of Government;Paavo Lipponen;1995;2020;SL;Backroom Backstabber;Low;FIN - Paavo Lipponen;X
145226;Head of Government;Kurt M. Wallenius;1940;1984;FA;Old General;High;432;X
145227;Head of Government;Olavi Mäenpää;1983;2019;FA;Happy Amateur;High;FIN - Olavi Mäenpää;X
145228;Head of Government;Jouko Itälä;1940;1991;NS;Political Protege;High;FIN - Jouko Itälä;X
145229;Head of Government;Pekka Malinen;1969;2005;NS;Silent Workhorse;High;FIN - Pekka Malinen;X
145230;Head of Government;Pekka Siitoin;1969;2004;NS;Backroom Backstabber;High;FIN - Pekka Siitoin;X
