URU;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
195109;Head of State;Alberto Fermin Zubiria;1956;1972;SL;Insignificant Layman;Medium;URU - Alberto Fermin Zubiria;X
195110;Head of State;Arturo Lezama Bagez;1957;1964;SL;Autocratic Charmer;Medium;URU - Arturo Lezama;X
195111;Head of State;Carlos Fischer Brusoni;1958;1970;SL;Benevolent Gentleman;Medium;URU - Carlos Fischer;X
195112;Head of State;Martin Echegoyen;1959;1975;ML;Benevolent Gentleman;Medium;URU - Martin Echegoyen;X
195113;Head of State;Benito Nardone Cetrulo;1960;1965;ML;Stern Imperialist;Medium;URU - Benito Nardone;X
195114;Head of State;Eduardo Victor Haedo;1961;1971;ML;Insignificant Layman;Medium;URU - Eduardo Victor Haedo;X
195115;Head of State;Faustino Harrison Usoz;1962;1964;ML;Barking Buffoon;Medium;URU - Faustino Harrison;X
195116;Head of State;Daniel Fernández Crespo;1963;1965;SL;Die-hard Reformer;Medium;URU - Daniel Fernández Crespo;X
195117;Head of State;Luis Giannattasio Finocchietti;1964;1966;SL;Autocratic Charmer;Medium;URU - Luis Giannattasio;X
195118;Head of State;Washington Beltrán Mullin;1965;2004;SC;Ruthless Powermonger;Medium;URU - Washington Beltrán;X
195119;Head of State;Alberto Héber Usher;1966;1982;ML;Weary Stiffneck;Medium;URU - Alberto Héber Usher;X
195120;Head of State;Jorge Pacheco Areco;1967;1999;SD;Pig-headed Isolationist;Medium;URU - Jorge Pacheco Areco;X
195121;Head of State;Juan María Bordaberry Arocena;1972;2012;PA;Weary Stiffneck;Medium;URU - Juan Maria Bordaberry;X
195122;Head of State;Aparicio Méndez Manfredini;1976;1989;PA;Powerhungry Demagogue;Medium;URU - Aparicio Méndez;X
195123;Head of State;Gregorio Álvarez Armelino;1981;2017;PA;Stern Imperialist;Medium;URU - Gregorio Conrado Alvarez;X
195124;Head of State;Julio Sanguinetti Coirolo;1984;2020;SD;Pig-headed Isolationist;Medium;URU - Julio Maria Sanguinetti;X
195125;Head of State;Luis Lacalle de Herrera;1990;2020;SC;Powerhungry Demagogue;Medium;URU - Luis Alberto Lacalle;X
195126;Head of State;Jorge Batlle Ibáñez;1990;2020;SD;Ruthless Powermonger;Medium;URU - Jorge Batlle;X
195127;Head of State;Alberto Zumarán;1984;2020;SC;Benevolent Gentleman;Medium;URU - Alberto Zumarán;X
195128;Head of State;Eugenio Gómez;1933;1974;ST;Ruthless Powermonger;Medium;URU - Eugenio Gómez;X
195129;Head of State;Tibaldo Rodney Arismendi;1954;1990;LE;Benevolent Gentleman;Medium;URU - Tibaldo Rodney Arismendi;X
195130;Head of State;Jaime Gerschuni Pérez;1985;2006;LE;Ruthless Powermonger;Medium;URU - Jaime Gerschuni Pérez;X
195131;Head of Government;Andrés Martínez Trueba;1952;1964;SL;Naive Optimist;Medium;M41074;X
195132;Head of Government;Alberto Fermin Zubiria;1956;1972;SL;Corporate Suit;Medium;URU - Alberto Fermin Zubiria;X
195133;Head of Government;Arturo Lezama Bagez;1957;1964;SL;Ambitious Union Boss;Medium;URU - Arturo Lezama;X
195134;Head of Government;Carlos Fischer Brusoni;1958;1970;SL;Silent Workhorse;Medium;URU - Carlos Fischer;X
195135;Head of Government;Martin Echegoyen;1959;1975;ML;Political Protege;Medium;URU - Martin Echegoyen;X
195136;Head of Government;Benito Nardone Cetrulo;1960;1965;ML;Ambitious Union Boss;Medium;URU - Benito Nardone;X
195137;Head of Government;Eduardo Victor Haedo;1961;1971;ML;Ambitious Union Boss;Medium;URU - Eduardo Victor Haedo;X
195138;Head of Government;Faustino Harrison Usoz;1962;1964;ML;Naive Optimist;Medium;URU - Faustino Harrison;X
195139;Head of Government;Daniel Fernández Crespo;1963;1965;SL;Ambitious Union Boss;Medium;URU - Daniel Fernández Crespo;X
195140;Head of Government;Luis Giannattasio Finocchietti;1964;1966;SL;Flamboyant Tough Guy;Medium;URU - Luis Giannattasio;X
195141;Head of Government;Washington Beltrán Mullin;1965;2004;SC;Naive Optimist;Medium;URU - Washington Beltrán;X
195142;Head of Government;Alberto Héber Usher;1966;1982;ML;Backroom Backstabber;Medium;URU - Alberto Héber Usher;X
195143;Head of Government;Jorge Pacheco Areco;1967;1999;SD;Happy Amateur;Medium;URU - Jorge Pacheco Areco;X
195144;Head of Government;Juan María Bordaberry Arocena;1972;2012;PA;Ambitious Union Boss;Medium;URU - Juan Maria Bordaberry;X
195145;Head of Government;Aparicio Méndez Manfredini;1976;1989;PA;Flamboyant Tough Guy;Medium;URU - Aparicio Méndez;X
195146;Head of Government;Gregorio Álvarez Armelino;1981;2017;PA;Smiling Oilman;Medium;URU - Gregorio Conrado Alvarez;X
195147;Head of Government;Julio Sanguinetti Coirolo;1984;2020;SD;Backroom Backstabber;Medium;URU - Julio Maria Sanguinetti;X
195148;Head of Government;Luis Lacalle de Herrera;1990;2020;SC;Flamboyant Tough Guy;Medium;URU - Luis Alberto Lacalle;X
195149;Head of Government;Jorge Batlle Ibáñez;1990;2020;SD;Political Protege;Medium;URU - Jorge Batlle;X
195150;Head of Government;Alberto Zumarán;1984;2020;SC;Silent Workhorse;Medium;URU - Alberto Zumarán;X
195151;Head of Government;Eugenio Gómez;1933;1974;ST;Backroom Backstabber;Medium;URU - Eugenio Gómez;X
195152;Head of Government;Tibaldo Rodney Arismendi;1954;1990;LE;Political Protege;Medium;URU - Tibaldo Rodney Arismendi;X
195153;Head of Government;Jaime Gerschuni Pérez;1985;2006;LE;Flamboyant Tough Guy;Medium;URU - Jaime Gerschuni Pérez;X
