PAN;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
405037;Minister of Security;Carlos Mendoza;1940;1964;SL;Crime Fighter;Medium;M95059;X
405038;Minister of Security;José Remón Cantera;1941;1964;SC;Man of the People;Medium;M95007;X
405039;Minister of Security;Nicolas Ardito Barletta;1945;1964;SL;Compassionate Gentleman;Medium;M95061;X
405040;Minister of Security;José Avila;1946;1964;SC;Crime Fighter;Medium;M95062;X
405041;Head of Military Intelligence;Ernesto Fabréga López;1933;1964;SC;Dismal Enigma;Medium;M95063;X
405042;Head of Military Intelligence;Victor Pareja;1940;1964;SL;Industrial Specialist;Medium;M95025;X
405043;Head of Military Intelligence;Baldomero Tarté;1941;1964;PA;Logistics Specialist;Medium;M95016;X
405044;Head of Military Intelligence;Ignacio C. Garces;1945;1964;SL;Naval Intelligence Specialist;Medium;M95066;X
405045;Head of Military Intelligence;José Lefebvré de la Ossa;1946;1964;SC;Industrial Specialist;Medium;M95042;X
405046;Chief of Staff;Bolivar Villarino;1933;1964;SC;School of Defence;Medium;M95008;X
405047;Chief of Staff;Juan José Parada;1940;1964;SL;School of Manoeuvre;Medium;M95020;X
405048;Chief of Staff;Pacificio Marciaga;1941;1964;PA;School of Psychology;Medium;M95017;X
405049;Chief of Staff;José Gomez Ayan;1945;1964;SL;School of Fire Support;Medium;M95071;X
405050;Chief of Army;José Remón Cantera;1933;1964;SC;Guns and Butter Doctrine;Medium;M95007;X
405051;Chief of Army;Enrico Fabrego Páz;1940;1964;ML;Static Defence Doctrine;Medium;M95018;X
405052;Chief of Army;Omar Torrijos;1946;1964;PA;Armoured Spearhead Doctrine;Medium;M95077;X
405053;Chief of Navy;Arturo Osborne Irragá;1941;1964;PA;Open Seas Doctrine;Medium;M95019;X
405054;Chief of Air Force;Marcos A. Gelabert;1933;1964;SC;Army Aviation Doctrine;Medium;M95082;X
405055;Chief of Air Force;Juan José Parada;1940;1964;ML;Air Superiority Doctrine;Medium;M95020;X
405056;Chief of Air Force;Carlos Zavala;1941;1964;SC;Air Superiority Doctrine;Medium;M95036;X
405057;Chief of Air Force;Nestor Urribe Suarez;1946;1964;SC;Carpet Bombing Doctrine;Medium;M95052;X
405058;Head of State;Ezequeil Fernandez Jaen;1939;1964;SC;Insignificant Layman;Medium;M95006;X
405059;Head of Government;Ezequeil Fernandez Jaen;1939;1964;SC;Smiling Oilman;Medium;M95006;X
405060;Head of Government;Augusto Samuel Boyd;1940;1964;SC;Ambitious Union Boss;High;M95038;X
405061;Head of State;Augusto Samuel Boyd;1940;1964;SC;Barking Buffoon;High;M95038;X
405062;Head of State;José Augustin Arango;1933;1964;PA;Resigned Generalissimo;High;M95011;X
405063;Head of Government;José Augustin Arango;1933;1964;PA;Old General;High;M95011;X
405064;Head of State;Floyd N. Britton sr.;1933;1964;LE;Pig-headed Isolationist;High;M95021;X
405065;Head of Government;Floyd N. Britton sr.;1933;1964;LE;Happy Amateur;High;M95021;X
405066;Foreign Minister;Luís Costa Arías;1933;1964;LWR;Ideological Crusader;Medium;M95023;X
405067;Minister of Armament;Floyd N. Britton sr.;1933;1964;LE;Administrative Genius;Medium;M95021;X
405068;Minister of Security;Victor Pareja;1933;1964;LE;Crooked Kleptocrat;Medium;M95025;X
405069;Chief of Staff;Adolfo Gutíerrez Clark;1933;1964;LE;School of Defence;Medium;M95027;X
405070;Chief of Army;Manuel Ríos Urribe;1933;1964;LWR;Armoured Spearhead Doctrine;Medium;M95028;X
405071;Chief of Navy;Ferdinando Hernandez Ytuarte;1933;1964;LWR;Power Projection Doctrine;Medium;M95029;X
405072;Chief of Air Force;Margarita Belloso Jímenez;1933;1964;LE;Vertical Envelopment Doctrine;Medium;M95030;X
405073;Head of State;Domingo Diaz Arosemena;1948;1964;SC;Weary Stiffneck;High;M95091;X
405074;Head of Government;Domingo Diaz Arosemena;1948;1964;SC;Silent Workhorse;High;M95091;X
405075;Minister of Security;Henrique de Obarrio;1948;1964;SC;Back Stabber;Medium;M95093;X
405076;Head of State;Daniel C. Pinzon;1949;1964;ML;Benevolent Gentleman;High;M95004;X
405077;Head of Government;Alciabides Arosemena;1949;1964;SC;Corporate Suit;High;M95095;X
405078;Head of State;Alciabides Arosemena;1951;1964;SC;Insignificant Layman;High;M95095;X
405079;Head of Government;José Remón Cantera;1951;1964;SC;Old General;High;M95007;X
405080;Foreign Minister;Pietro del Oramio;1951;1964;SC;Biased Intellectual;High;M95098;X
405081;Head of State;José Remón Cantera;1952;1964;SC;Resigned Generalissimo;High;M95007;X
405082;Minister of Security;Ernesto de la Guardia;1952;1964;SC;Compassionate Gentleman;Medium;M95100;X
405083;Chief of Staff;Henrique de Obarrio;1952;1964;SC;School of Mass Combat;Medium;M95093;X
405084;Foreign Minister;Narciso Garay;1916;1933;SL;Great Compromiser;Medium;unknown;X
405085;Foreign Minister;Horacio F. Alfaro;1924;1933;SL;Great Compromiser;Medium;unknown;X
405086;Foreign Minister;J.F. De la Ossa;1924;1933;ML;Great Compromiser;Medium;unknown;X
405087;Foreign Minister;Ernesto T. Lefevre;1914;1933;SL;Great Compromiser;Medium;2922;X
405088;Foreign Minister;Pablo Arosemena;1916;1933;ML;Ideological Crusader;Medium;2923;X
405089;Head of Government;Jose A. Brower;1914;1933;LE;Ambitious Union Boss;Medium;unknown;X
405090;Head of Government;Ramón Maximiliano Valdés;1916;1933;SL;Ambitious Union Boss;Medium;unknown;X
405091;Head of Government;Ciro Urriola;1918;1933;SL;Backroom Backstabber;Medium;2924;X
405092;Head of Government;Belisario Porras;1920;1933;ML;Corporate Suit;Medium;unknown;X
405093;Head of Government;Ernesto T. Lefevre;1920;1933;SL;Happy Amateur;Medium;2922;X
405094;Head of Government;Rodolfo E. Chiari;1924;1933;SL;Naive Optimist;Medium;unknown;X
405095;Head of Government;Belisario Barahona;1914;1933;SL;Political Protege;Medium;2925;X
405096;Head of State;Jose Maria Blazquez de Pedro;1914;1933;ST;Die-hard Reformer;Medium;unknown;X
405097;Head of State;Jose Maria Blazquez de Pedro;1914;1933;LE;Die-hard Reformer;Medium;unknown;X
405098;Head of State;Jose Maria Blazquez de Pedro;1914;1933;LWR;Die-hard Reformer;Medium;unknown;X
405099;Head of State;Ramón Maximiliano Valdés;1916;1933;ML;Insignificant Layman;Medium;unknown;X
405100;Head of State;Ramón Maximiliano Valdés;1916;1933;SL;Insignificant Layman;Medium;unknown;X
405101;Head of State;Ramón Maximiliano Valdés;1916;1933;SD;Insignificant Layman;Medium;unknown;X
405102;Head of State;Ciro Urriola;1918;1933;ML;Benevolent Gentleman;Medium;2924;X
405103;Head of State;Ciro Urriola;1918;1933;SD;Benevolent Gentleman;Medium;2924;X
405104;Head of State;Belisario Porras;1920;1933;ML;Popular Figurehead;Medium;unknown;X
405105;Head of State;Belisario Porras;1920;1933;SL;Popular Figurehead;Medium;unknown;X
405106;Head of State;Belisario Porras;1920;1933;SD;Popular Figurehead;Medium;unknown;X
405107;Head of State;Ernesto T. Lefevre;1920;1933;ML;Ruthless Powermonger;Medium;2922;X
405108;Head of State;Ernesto T. Lefevre;1920;1933;SL;Ruthless Powermonger;Medium;2922;X
405109;Head of State;Ernesto T. Lefevre;1920;1933;SD;Ruthless Powermonger;Medium;2922;X
405110;Head of State;Rodolfo E. Chiari;1924;1933;ML;Weary Stiffneck;Medium;unknown;X
405111;Head of State;Rodolfo E. Chiari;1924;1933;SL;Weary Stiffneck;Medium;unknown;X
405112;Head of State;Rodolfo E. Chiari;1924;1933;SD;Weary Stiffneck;Medium;unknown;X
405113;Head of State;Belisario Barahona;1914;1933;ML;Stern Imperialist;Medium;2925;X
405114;Head of State;Belisario Barahona;1914;1933;SL;Stern Imperialist;Medium;2925;X
405115;Head of State;Belisario Barahona;1914;1933;SD;Stern Imperialist;Medium;2925;X
405116;Minister of Security;Samuel Lewis;1916;1933;ML;Crime Fighter;Medium;unknown;X
405117;Minister of Security;Carlos L. Lopez;1924;1933;SL;Crime Fighter;Medium;unknown;X
405118;Minister of Security;Antenor Quinzada;1924;1933;ML;Crime Fighter;Medium;unknown;X
405119;Minister of Security;Juan B. Sosa;1914;1933;SL;Crime Fighter;Medium;unknown;X
405120;Minister of Security;Jose Gonzales;1914;1933;LE;Man of the People;Medium;unknown;X
405121;Minister of Security;Juan B. Sosa;1916;1933;SL;Silent Lawyer;Medium;unknown;X
405122;Minister of Security;Prospero Pinel;1918;1933;ML;Silent Lawyer;Medium;unknown;X
405123;Head of State;Roberto Chiari Remón;1949;1982;SL;Benevolent Gentleman;Medium;PAN - Roberto Chiari Remón;X
405124;Head of State;Ricardo Arias Espinosa;1955;1994;SC;Resigned Generalissimo;Medium;PAN - Ricardo Arias Espinosa;X
405125;Head of State;Ernesto de la Guardia;1956;1984;SC;Benevolent Gentleman;Medium;M95100;X
405126;Head of State;Marco Aurelio Robles;1964;1991;SL;Weary Stiffneck;Medium;PAN - Marco Aurelio Robles;X
405127;Head of State;Arnulfo Arías de la Madrid;1963;1989;ML;Popular Figurehead;High;M95032;X
405128;Head of State;Omar Torrijos Herrera;1968;1982;PA;Weary Stiffneck;Medium;PAN - Omar Torrijos;X
405129;Head of State;Florencio Flores Aguilar;1981;1990;PA;Die-hard Reformer;Medium;PAN - Florencio Flores Aguilar;X
405130;Head of State;Ruben Dario Paredes;1982;2020;PA;Popular Figurehead;Medium;PAN - Ruben Dario Paredes;X
405131;Head of State;Manuel Noriega Moreno;1983;2018;PA;Autocratic Charmer;Medium;PAN - Manuel Noriega;X
405132;Head of State;Guillermo Endara Galimany;1989;2010;SC;Barking Buffoon;Medium;PAN - Guillermo Endara;X
405133;Head of State;Ernesto Pérez Balladares;1993;2020;SL;Weary Stiffneck;Medium;PAN - Ernesto Pérez Balladares;X
405134;Head of State;Mireya Moscoso Rodríguez;1994;2020;SC;Autocratic Charmer;Medium;PAN - Mireya Moscoso;X
405135;Head of State;Victor Florencio Goytia;1956;1964;SD;Die-hard Reformer;Medium;PAN - Victor Florencio Goytia;X
405136;Head of State;Carlos Duque Jaén;1988;2015;SD;Ruthless Powermonger;Medium;PAN - Carlos Duque Jaén;X
405137;Head of State;Martín Torrijos Espino;1998;2020;SL;Autocratic Charmer;Medium;PAN - Martin Torrijos Espino;X
405138;Head of State;Carlos Chang Marín;1963;2013;LE;Popular Figurehead;Medium;PAN - Carlos Chang Marin;X
405139;Head of State;Rómulo Escobar Bethancourt;1963;1996;LWR;Stern Imperialist;Medium;PAN - Rómulo Escobar Bethancourt;X
405140;Head of Government;Riccardo de la Guardia;1941;1964;PA;Silent Workhorse;High;M95013;X
405141;Head of Government;Enrique Jiménez Brín;1946;1964;SL;Flamboyant Tough Guy;High;M95035;X
405142;Head of Government;Roberto Chiari Remón;1949;1982;SL;Corporate Suit;Medium;PAN - Roberto Chiari Remón;X
405143;Head of Government;Ricardo Arias Espinosa;1955;1994;SC;Silent Workhorse;Medium;PAN - Ricardo Arias Espinosa;X
405144;Head of Government;Ernesto de la Guardia;1956;1984;SC;Political Protege;Medium;M95100;X
405145;Head of Government;Arnulfo Arías de la Madrid;1963;1989;ML;Corporate Suit;High;M95032;X
405146;Head of Government;Marco Aurelio Robles;1964;1991;SL;Silent Workhorse;Medium;PAN - Marco Aurelio Robles;X
405147;Head of Government;Omar Torrijos Herrera;1968;1982;PA;Old General;Medium;PAN - Omar Torrijos;X
405148;Head of Government;Florencio Flores Aguilar;1981;1990;PA;Political Protege;Medium;PAN - Florencio Flores Aguilar;X
405149;Head of Government;Ruben Dario Paredes;1982;2020;PA;Happy Amateur;Medium;PAN - Ruben Dario Paredes;X
405150;Head of Government;Manuel Noriega Moreno;1983;2018;PA;Old General;Medium;PAN - Manuel Noriega;X
405151;Head of Government;Guillermo Endara Galimany;1989;2010;SC;Backroom Backstabber;Medium;PAN - Guillermo Endara;X
405152;Head of Government;Mireya Moscoso Rodríguez;1994;2020;SC;Happy Amateur;Medium;PAN - Mireya Moscoso;X
405153;Head of Government;Victor Florencio Goytia;1956;1964;SD;Ambitious Union Boss;Medium;PAN - Victor Florencio Goytia;X
405154;Head of Government;Carlos Duque Jaén;1988;2015;SD;Corporate Suit;Medium;PAN - Carlos Duque Jaén;X
405155;Head of Government;Martín Torrijos Espino;1998;2020;SL;Backroom Backstabber;Medium;PAN - Martin Torrijos Espino;X
405156;Head of Government;Carlos Chang Marín;1963;2013;LE;Happy Amateur;Medium;PAN - Carlos Chang Marin;X
405157;Head of Government;Rómulo Escobar Bethancourt;1963;1996;LWR;Flamboyant Tough Guy;Medium;PAN - Rómulo Escobar Bethancourt;X
