GUA;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
305023;Foreign Minister;Carlos Argumedo Salazar;1944;1964;LWR;The Cloak N Dagger Schemer;Medium;M46035;X
305024;Foreign Minister;Jorge Torriello Garrido;1945;1964;SD;General Staffer;Medium;M46011;X
305025;Foreign Minister;Enrique Muñoz Meany;1946;1964;SD;Biased Intellectual;Medium;M46037;X
305026;Foreign Minister;Francisco Javier Arana;1945;1964;SC;Iron Fisted Brute;Medium;M46027;X
305027;Foreign Minister;Carlos Argumedo Salazar;1937;1964;PA;Great Compromiser;Medium;M46035;X
305028;Minister of Armament;Juan Arevalo Bermejo;1944;1964;LWR;Resource Industrialist;Medium;M46022;X
305029;Minister of Armament;Jacopo Arbenz Guzman;1945;1964;SD;Infantry Proponent;Medium;M46021;X
305030;Minister of Armament;Diego A. Castro Arigon;1946;1964;SD;Administrative Genius;Medium;M46044;X
305031;Minister of Armament;Julio Herrera;1945;1964;SL;Resource Industrialist;Medium;M46045;X
305032;Minister of Armament;José Matos;1945;1964;SC;Laissez-Faire Capitalist;Medium;M46014;X
305033;Minister of Armament;T. Castro Dominguez;1937;1964;PA;Corrupt Kleptocrat;Medium;M46005;X
305034;Minister of Armament;Manuel Arroyo;1940;1964;PA;Theoretical Scientist;Medium;M46031;X
305035;Minister of Armament;Federico Ponce Vaides;1944;1964;PA;Tank Proponent;Medium;M46007;X
305036;Minister of Security;Manuel Orellana;1944;1964;LWR;Crime Fighter;Medium;M46012;X
305037;Minister of Security;Manuel Valladares;1945;1964;SD;Silent Lawyer;Medium;M46015;X
305038;Minister of Security;Tomas Mendoza Urribe;1945;1964;SL;Silent Lawyer;Medium;M46009;X
305039;Minister of Security;Carlos Castillo Armas;1945;1964;SC;Silent Lawyer;Medium;M46053;X
305040;Minister of Security;Alfredo Skinner Klee;1937;1964;PA;Compassionate Gentleman;Medium;M46003;X
305041;Minister of Security;Federico Ponce Vaides;1940;1964;PA;Efficient Sociopath;Medium;M46007;X
305042;Minister of Security;R. Buenaventure Pineda;1944;1964;PA;Prince of Terror;Medium;M46010;X
305043;Head of Military Intelligence;Adrian Recinos;1944;1964;LWR;Technical Specialist;Medium;M46016;X
305044;Head of Military Intelligence;Jacopo Arbenz Guzman;1947;1964;SD;Political Specialist;Medium;M46021;X
305045;Head of Military Intelligence;Tomas Mendoza Urribe;1945;1964;SL;Naval Intelligence Specialist;Medium;M46009;X
305046;Head of Military Intelligence;Felipé Uriarte Tómas;1945;1964;SC;Logistics Specialist;Medium;M46060;X
305047;Head of Military Intelligence;Guillermo Flores Arendano;1937;1964;PA;Dismal Enigma;Medium;M46004;X
305048;Head of Military Intelligence;Manuel Arroyo;1944;1964;PA;Naval Intelligence Specialist;Medium;M46031;X
305049;Chief of Staff;Carlos Diaz de Leon;1945;1964;SD;School of Manoeuvre;Medium;M46063;X
305050;Chief of Staff;Manuel Orellana;1944;1964;LWR;School of Defence;Medium;M46012;X
305051;Chief of Staff;Jorge Ubico Castaneda;1937;1964;PA;School of Mass Combat;High;M46001;X
305052;Chief of Army;Jacopo Arbenz Guzman;1944;1964;LWR;Decisive Battle Doctrine;Medium;M46021;X
305053;Chief of Army;Carlos Diaz de Leon;1945;1964;SD;Armoured Spearhead Doctrine;Medium;M46063;X
305054;Chief of Army;Manuel Orellana;1945;1964;SL;Static Defence Doctrine;Medium;M46012;X
305055;Chief of Army;R. Buenaventure Pineda;1945;1964;SC;Guns and Butter Doctrine;Medium;M46010;X
305056;Chief of Army;Federico Ponce Vaides;1937;1964;PA;Decisive Battle Doctrine;Medium;M46007;X
305057;Chief of Navy;Tomas Mendoza Urribe;1945;1964;SD;Indirect Approach Doctrine;Medium;M46009;X
305058;Chief of Navy;Jorge Torriello Garrido;1944;1964;LWR;Power Projection Doctrine;High;M46011;X
305059;Chief of Navy;José Ezuira Abel;1945;1964;SC;Open Seas Doctrine;Medium;M46019;X
305060;Chief of Air Force;Francisco Javier Arana;1944;1964;LWR;Vertical Envelopment Doctrine;Very High;M46027;X
305061;Chief of Air Force;W. Tesch Orlando;1945;1964;SD;Air Superiority Doctrine;Medium;M46077;X
305062;Chief of Air Force;Miguel Garcia Granados;1945;1964;SC;Carpet Bombing Doctrine;Medium;M46079;X
305063;Chief of Staff;M. Ydigaras Fuentes;1944;1964;PA;School of Psychology;Medium;M46018;X
305064;Head of Government;Federico Ponce Vaides;1944;1964;PA;Old General;Very High;M46007;X
305065;Head of State;Manuel Cabrera;1914;1933;SL;Barking Buffoon;Medium;2650;X
305066;Head of Government;Manuel Cabrera;1914;1933;SL;Naive Optimist;Medium;2650;X
305067;Minister of Armament;Lazaro Chacón;1914;1933;SL;Military Entrepreneur;Medium;2651;X
305068;Minister of Security;Miguel Larrave;1914;1933;ML;Crooked Kleptocrat;Medium;unknown;X
305069;Chief of Staff;José Letona;1914;1933;ML;School of Defence;Medium;unknown;X
305070;Head of State;Carlos Herrera;1920;1933;SL;Resigned Generalissimo;Medium;2652;X
305071;Head of Government;Carlos Herrera;1920;1933;SL;Ambitious Union Boss;Medium;2652;X
305072;Head of State;José Orellana;1921;1933;SL;Autocratic Charmer;Medium;6893;X
305073;Head of Government;José Orellana;1921;1933;SL;Backroom Backstabber;Medium;6893;X
305074;Chief of Army;José Orellana;1914;1933;ML;Decisive Battle Doctrine;Medium;6893;X
305075;Head of State;Carlos Castillo Armas;1953;1958;PA;Ruthless Powermonger;Medium;M46053;X
305076;Head of State;Miguel Ydígoras Fuentes;1950;1983;SC;Popular Figurehead;Medium;GUA - Miguel Ydigoras Fuentes;X
305077;Head of State;Enrique Peralta Azurdia;1963;1998;SC;Resigned Generalissimo;Medium;GUA - Enrique Peralta Azurdia;X
305078;Head of State;Julio Méndez Montenegro;1966;1997;SD;Ruthless Powermonger;Medium;GUA - Julio Méndez Montenegro;X
305079;Head of State;Carlos Arana Osorio;1970;2004;PA;Weary Stiffneck;Medium;GUA - Carlos Arana Osorio;X
305080;Head of State;Kjell Laugerud García;1974;2010;PA;Autocratic Charmer;Medium;GUA - Kjell Laugerud Garcia;X
305081;Head of State;Fernando Lucas García;1978;2007;PA;Stern Imperialist;Medium;GUA - Fernando Lucas Garcia;X
305082;Head of State;Efraín Ríos Montt;1974;2019;PA;Stern Imperialist;Medium;GUA - Efrain Rios Montt;X
305083;Head of State;Óscar Mejía Victores;1983;2017;PA;Autocratic Charmer;Medium;GUA - Oscar Mejia Victores;X
305084;Head of State;Vinicio Cerezo Arévalo;1985;2020;SC;Popular Figurehead;Medium;GUA - Vinicio Cerezo Arévalo;X
305085;Head of State;Jorge Serrano Elías;1986;2020;SD;Powerhungry Demagogue;Medium;GUA - Jorge Serrano Elias;X
305086;Head of State;Ricardo Ramírez de León;1993;2003;ML;Popular Figurehead;Medium;GUA - Ricardo Ramirez de León;X
305087;Head of State;Álvaro Enrique Arzú;1995;2019;ML;Benevolent Gentleman;Medium;GUA - Alvaro Arzú Yrigoyen;X
305088;Head of State;Alfonso Portillo Cabrera;1995;2020;SC;Barking Buffoon;Medium;GUA - Alfonso Portillo Cabrera;X
305089;Head of State;José Cruz Salazar;1958;1993;SD;Reformist Soldierhos;Medium;GUA - José Cruz Salazar;X
305090;Head of State;Juan Aguilar de León;1966;2000;SC;Insignificant Layman;Medium;unknownminister;X
305091;Head of State;Mario Fuentes Pieruccini;1970;2000;SD;Barking Buffoon;Medium;GUA - Mario Fuentes Pieruccini;X
305092;Head of State;Jorge Carpio Nicolle;1985;1994;SL;Die-hard Reformer;Medium;GUA - Jorge Carpio Nicolle;X
305093;Head of State;Óscar Berger Perdomo;1999;2020;ML;Barking Buffoon;Medium;GUA - Oscar Berger Perdomo;X
305094;Head of State;José Manuel Fortuny;1944;2006;ST;Ruthless Powermonger;Medium;GUA - José Manuel Fortuny;X
305095;Head of State;Ricardo Rosales Román;1975;2020;LE;Powerhungry Demagogue;Medium;GUA - Ricardo Rosales Román;X
305096;Head of Government;Jacopo Arbenz Guzman;1944;1964;LWR;Naive Optimist;High;M46021;X
305097;Head of Government;Carlos Castillo Armas;1953;1958;PA;Old General;Medium;M46053;X
305098;Head of Government;Miguel Ydígoras Fuentes;1950;1983;SC;Ambitious Union Boss;Medium;GUA - Miguel Ydigoras Fuentes;X
305099;Head of Government;Enrique Peralta Azurdia;1963;1998;SC;Naive Optimist;Medium;GUA - Enrique Peralta Azurdia;X
305100;Head of Government;Julio Méndez Montenegro;1966;1997;SD;Happy Amateur;Medium;GUA - Julio Méndez Montenegro;X
305101;Head of Government;Carlos Arana Osorio;1970;2004;PA;Flamboyant Tough Guy;Medium;GUA - Carlos Arana Osorio;X
305102;Head of Government;Kjell Laugerud García;1974;2010;PA;Old General;Medium;GUA - Kjell Laugerud Garcia;X
305103;Head of Government;Fernando Lucas García;1978;2007;PA;Old General;Medium;GUA - Fernando Lucas Garcia;X
305104;Head of Government;Efraín Ríos Montt;1974;2019;PA;Backroom Backstabber;Medium;GUA - Efrain Rios Montt;X
305105;Head of Government;Óscar Mejía Victores;1983;2017;PA;Old General;Medium;GUA - Oscar Mejia Victores;X
305106;Head of Government;Vinicio Cerezo Arévalo;1985;2020;SC;Naive Optimist;Medium;GUA - Vinicio Cerezo Arévalo;X
305107;Head of Government;Jorge Serrano Elías;1986;2020;SD;Ambitious Union Boss;Medium;GUA - Jorge Serrano Elias;X
305108;Head of Government;Ricardo Ramírez de León;1993;2003;ML;Naive Optimist;Medium;GUA - Ricardo Ramirez de León;X
305109;Head of Government;Álvaro Enrique Arzú;1995;2019;ML;Corporate Suit;Medium;GUA - Alvaro Arzú Yrigoyen;X
305110;Head of Government;Alfonso Portillo Cabrera;1995;2020;SC;Backroom Backstabber;Medium;GUA - Alfonso Portillo Cabrera;X
305111;Head of Government;Óscar Berger Perdomo;1999;2020;ML;Ambitious Union Boss;Medium;GUA - Oscar Berger Perdomo;X
305112;Head of Government;José Manuel Fortuny;1944;2006;ST;Backroom Backstabber;Medium;GUA - José Manuel Fortuny;X
305113;Head of Government;Ricardo Rosales Román;1975;2020;LE;Ambitious Union Boss;Medium;GUA - Ricardo Rosales Román;X
