HON;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
355027;Foreign Minister;Salvador Aguirre;1938;1964;SC;The Cloak N Dagger Schemer;Medium;M79048;X
355028;Foreign Minister;Silverio Laínez Villamin;1944;1964;SC;Apologetic Clerk;Medium;M79049;X
355029;Foreign Minister;Juan Manuel Galvez;1946;1964;SC;General Staffer;Medium;M79017;X
355030;Foreign Minister;Salvador Aguirre Osana;1937;1964;SL;The Cloak N Dagger Schemer;High;M79051;X
355031;Foreign Minister;Roberto Michelleti Bain;1945;1964;SL;Great Compromiser;Medium;M79004;X
355032;Foreign Minister;Jacinto Escudero Oycandadel;1937;1964;LWR;Iron Fisted Brute;Medium;M79023;X
355033;Foreign Minister;Hernan Fernandez Silva;1941;1964;SD;Great Compromiser;Medium;M79043;X
355034;Foreign Minister;Orlando Rodriguez Jimino;1945;1964;SD;Ideological Crusader;High;M79036;X
355035;Minister of Armament;Miguel A. Navarro;1937;1964;SC;Infantry Proponent;Medium;M79056;X
355036;Minister of Armament;Carlos Alberto Ucles;1939;1964;SC;Military Entrepreneur;Medium;M79002;X
355037;Minister of Armament;Rafael Alvarado Guerrero;1941;1964;SC;Corrupt Kleptocrat;Medium;M79058;X
355038;Minister of Armament;Didier Masson;1942;1964;SC;Air Superiority Proponent;Medium;M79059;X
355039;Minister of Armament;Fausto Davilá;1945;1964;SC;Resource Industrialist;Medium;M79014;X
355040;Minister of Armament;Roberto Ortíz Almendares;1946;1964;SC;Administrative Genius;Medium;M79015;X
355041;Minister of Armament;Juan Manuel Galvez;1947;1964;SC;Theoretical Scientist;Medium;M79017;X
355042;Minister of Armament;Roberto Michelleti Bain;1937;1964;SL;Resource Industrialist;Medium;M79004;X
355043;Minister of Armament;Oswaldo López Arellano;1939;1964;SL;Battle Fleet Proponent;Medium;M79064;X
355044;Minister of Armament;Juan B. Valladares;1941;1964;SL;Tank Proponent;Low;M79011;X
355045;Minister of Armament;Ramon Villeda Morales;1945;1964;SL;Laissez-Faire Capitalist;Medium;M79066;X
355046;Minister of Armament;Augustin Espinoza Reyes;1937;1964;LWR;Administrative Genius;Medium;M79024;X
355047;Minister of Armament;Misael Becker Villarroel;1941;1964;SD;Military Entrepreneur;Medium;M79068;X
355048;Minister of Armament;Carlos Molina Dejonje;1945;1964;SD;Submarine Proponent;Medium;M79069;X
355049;Minister of Armament;Jaime Herda Garcia;1946;1964;SD;Laissez-Faire Capitalist;Medium;M79070;X
355050;Minister of Security;Miguel A. Navarro;1937;1964;SC;Crooked Kleptocrat;Medium;M79056;X
355051;Minister of Security;Rafael Alvarado Guerrero;1938;1964;SC;Back Stabber;Medium;M79058;X
355052;Minister of Security;Abraham Williams Calderon;1941;1964;SC;Prince of Terror;Medium;M79039;X
355053;Minister of Security;Roberto Ortíz Almendares;1937;1964;SL;Compassionate Gentleman;Medium;M79015;X
355054;Minister of Security;Juan Codigo Ramirez;1937;1964;LWR;Prince of Terror;Medium;M79022;X
355055;Minister of Security;Augustin Espinoza Reyes;1941;1964;SD;Back Stabber;Medium;M79024;X
355056;Minister of Security;Jaime Herda Garcia;1945;1964;SD;Efficient Sociopath;Medium;M79070;X
355057;Minister of Security;Carlos Molina Dejonje;1946;1964;SD;Man of the People;Medium;M79069;X
355058;Head of Military Intelligence;Roberto Ortíz Almendares;1937;1964;SC;Dismal Enigma;Medium;M79015;X
355059;Head of Military Intelligence;Tiburcio Carias Andina;1941;1964;SC;Political Specialist;Medium;M79001;X
355060;Head of Military Intelligence;José Zuñiga Huete;1937;1964;SL;Naval Intelligence Specialist;High;M79032;X
355061;Head of Military Intelligence;Julio Lozano Díaz;1941;1964;SL;Dismal Enigma;High;M79042;X
355062;Head of Military Intelligence;Hernan Fernandez Silva;1945;1964;SL;Industrial Specialist;High;M79043;X
355063;Head of Military Intelligence;Vicente Tapia Lobo;1937;1964;LWR;Naval Intelligence Specialist;Medium;M79026;X
355064;Head of Military Intelligence;Enrique Doll Rojas;1941;1964;LWR;Technical Specialist;Medium;M79027;X
355065;Head of Military Intelligence;Raul Sanchez Banados;1945;1964;SD;Industrial Specialist;Medium;M79021;X
355066;Chief of Staff;Raimundo Stochler Garcia;1941;1964;SC;School of Defence;Very High;M79006;X
355067;Chief of Staff;Oswaldo López Arellano;1937;1964;SL;School of Manoeuvre;Medium;M79064;X
355068;Chief of Staff;Enrique Ortiz Pinel;1945;1964;SL;School of Fire Support;Medium;M79090;X
355069;Chief of Staff;Enrique Doll Rojas;1937;1964;LWR;School of Psychology;Medium;M79027;X
355070;Chief of Staff;Vicente Tapia Lobo;1941;1964;LWR;School of Manoeuvre;Medium;M79026;X
355071;Chief of Army;Juan Manuel Galvez;1937;1964;SC;Armoured Spearhead Doctrine;Medium;M79017;X
355072;Chief of Army;José Zuñiga Huete;1937;1964;SL;Decisive Battle Doctrine;High;M79032;X
355073;Chief of Army;Enrique Ortiz Pinel;1941;1964;SL;Armoured Spearhead Doctrine;Medium;M79090;X
355074;Chief of Army;Enrique Doll Rojas;1937;1964;LWR;Static Defence Doctrine;Medium;M79027;X
355075;Chief of Army;Francisco S. Tapio Toro;1945;1964;SD;Armoured Spearhead Doctrine;High;M79045;X
355076;Chief of Navy;Oswaldo López Arellano;1937;1964;SL;Decisive Naval Battle Doctrine;Medium;M79064;X
355077;Chief of Navy;Vicente Tapia Lobo;1937;1964;LWR;Decisive Naval Battle Doctrine;Medium;M79026;X
355078;Chief of Air Force;Didier Masson;1937;1964;SC;Air Superiority Doctrine;Medium;M79059;X
355079;Chief of Air Force;Miguel Ángel Sevilla;1945;1964;SD;Naval Aviation Doctrine;Medium;M79106;X
355080;Chief of Navy;Francisco S. Tapio Toro;1945;1964;SD;Base Control Doctrine;High;M79045;X
355081;Foreign Minister;Antonio Bermúdez Meza;1933;1964;PA;Ideological Crusader;High;M79108;X
355082;Chief of Staff;Juan Manuel Galvez;1933;1964;SC;School of Manoeuvre;Medium;M79017;X
355083;Chief of Navy;Carlos Vaupel Comeza;1933;1964;SC;Indirect Approach Doctrine;Medium;M79009;X
355084;Chief of Navy;Carlos Vaupel Comeza;1933;1964;LWR;Indirect Approach Doctrine;Medium;M79009;X
355085;Head of State;Juan Manuel Galvez;1949;1964;SC;Resigned Generalissimo;High;M79017;X
355086;Head of Government;Hernan Fernandez Silva;1949;1964;SC;Corporate Suit;High;M79043;X
355087;Head of Government;Francisco Bertrand;1913;1933;ML;Old General;Medium;unknown;X
355088;Head of Government;Rafael López Gutiérrez;1919;1933;SL;Old General;Medium;unknown;X
355089;Head of Government;Tiburcio Carías Andino;1924;1933;ML;Old General;Medium;unknown;X
355090;Head of State;Francisco Bertrand;1913;1933;ML;Ruthless Powermonger;Medium;unknown;X
355091;Head of State;Rafael López Gutiérrez;1919;1933;SL;Ruthless Powermonger;Medium;unknown;X
355092;Head of State;Tiburcio Carías Andino;1924;1933;ML;Barking Buffoon;Medium;unknown;X
355093;Head of State;Juan Manuel Galvez;1948;1972;SC;Weary Stiffneck;High;M79017;X
355094;Head of State;Julio Lozano Díaz;1954;1958;PA;Ruthless Powermonger;Medium;M79042;X
355095;Head of State;Ramon Villeda Morales;1954;1972;SD;Ruthless Powermonger;Medium;M79066;X
355096;Head of State;Oswaldo López Arellano;1963;2011;SC;Autocratic Charmer;Medium;M79064;X
355097;Head of State;Ramón Cruz Uclés;1971;1986;SC;Barking Buffoon;Medium;HON - Ramón Cruz Uclés;X
355098;Head of State;Oswaldo López Arellano;1973;2011;PA;Autocratic Charmer;Medium;M79064;X
355099;Head of State;Juan Melgar Castro;1975;1988;PA;Pig-headed Isolationist;Medium;HON - Juan Melgar Castro;X
355100;Head of State;Policarpo Paz García;1978;2001;PA;Weary Stiffneck;Medium;HON - Policarpo Paz Garcia;X
355101;Head of State;Roberto Suazo Córdova;1981;2019;SL;Barking Buffoon;Medium;HON - Roberto Suazo Córdova;X
355102;Head of State;José Azcona del Hoyo;1986;2006;SL;Powerhungry Demagogue;Medium;HON - José Azcona del Hoyo;X
355103;Head of State;Rafael Callejas Romero;1986;2004;SC;Popular Figurehead;Medium;HON - Rafael Callejas Romero;X
355104;Head of State;Carlos Reina Idiáquez;1992;2004;SL;Die-hard Reformer;Medium;HON - Carlos Reina Idiáquez;X
355105;Head of State;Carlos Flores Facussé;1990;2020;SL;Barking Buffoon;Medium;HON - Carlos Flores Facussé;X
355106;Head of State;Oswaldo Ramos Soto;1992;2020;SC;Benevolent Gentleman;Medium;HON - Oswaldo Ramos Soto;X
355107;Head of State;Nora Gúnera de Melgar;1997;2020;SC;Insignificant Layman;Medium;HON - Nora Gúnera de Melgar;X
355108;Head of State;Ramos Dionisio Bejarano;1954;2009;LE;Autocratic Charmer;Medium;HON - Ramos Dionisio Bejarano;X
355109;Head of State;Ramon Villeda Morales;1954;1972;LWR;Ruthless Powermonger;Medium;M79066;X
355110;Head of Government;Julio Lozano Díaz;1954;1958;PA;Silent Workhorse;Medium;M79042;X
355111;Head of Government;Ramon Villeda Morales;1954;1972;SD;Ambitious Union Boss;Medium;M79066;X
355112;Head of Government;Oswaldo López Arellano;1963;2011;SC;Old General;Medium;M79064;X
355113;Head of Government;Ramón Cruz Uclés;1971;1986;SC;Naive Optimist;Medium;HON - Ramón Cruz Uclés;X
355114;Head of Government;Oswaldo López Arellano;1973;2011;PA;Old General;Medium;M79064;X
355115;Head of Government;Juan Melgar Castro;1975;1988;PA;Flamboyant Tough Guy;Medium;HON - Juan Melgar Castro;X
355116;Head of Government;Policarpo Paz García;1978;2001;PA;Backroom Backstabber;Medium;HON - Policarpo Paz Garcia;X
355117;Head of Government;Roberto Suazo Córdova;1981;2019;SL;Happy Amateur;Medium;HON - Roberto Suazo Córdova;X
355118;Head of Government;José Azcona del Hoyo;1986;2006;SL;Corporate Suit;Medium;HON - José Azcona del Hoyo;X
355119;Head of Government;Rafael Callejas Romero;1986;2004;SC;Naive Optimist;Medium;HON - Rafael Callejas Romero;X
355120;Head of Government;Carlos Reina Idiáquez;1992;2004;SL;Naive Optimist;Medium;HON - Carlos Reina Idiáquez;X
355121;Head of Government;Carlos Flores Facussé;1990;2020;SL;Corporate Suit;Medium;HON - Carlos Flores Facussé;X
355122;Head of Government;Oswaldo Ramos Soto;1992;2020;SC;Silent Workhorse;Medium;HON - Oswaldo Ramos Soto;X
355123;Head of Government;Nora Gúnera de Melgar;1997;2020;SC;Happy Amateur;Medium;HON - Nora Gúnera de Melgar;X
355124;Head of Government;Ramos Dionisio Bejarano;1954;2009;LE;Political Protege;Medium;HON - Ramos Dionisio Bejarano;X
355125;Head of Government;Ramon Villeda Morales;1954;1972;LWR;Ambitious Union Boss;Medium;M79066;X
