DOM;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
320050;Head of Military Intelligence;Alberto Garcia Vienda;1938;1964;SC;Logistics Specialist;Low;M49015;X
320051;Head of Military Intelligence;Francisco Prats Ramirez;1938;1964;LWR;Industrial Specialist;High;M49037;X
320052;Head of Military Intelligence;Mario Imbert McGregor;1946;1964;SD;Dismal Enigma;Medium;M49026;X
320053;Chief of Staff;Manuel Peña Battle;1946;1964;PA;School of Defence;Very High;M49049;X
320054;Chief of Staff;Jesus da Costa-Ruiz;1938;1964;SC;School of Mass Combat;Medium;M49006;X
320055;Chief of Staff;Victor Viñas Roman;1938;1964;SD;School of Fire Support;Medium;M49027;X
320056;Chief of Army;Domingo de los Santos Ortiz;1938;1964;SC;Armoured Spearhead Doctrine;Low;M49018;X
320057;Chief of Army;Victor Viñas Roman;1938;1964;SD;Decisive Battle Doctrine;Medium;M49027;X
320058;Chief of Navy;Honoracio Yuna Robles;1940;1964;PA;Open Seas Doctrine;High;M49087;X
320059;Chief of Navy;Rafél Trujillo Molina;1942;1964;PA;Base Control Doctrine;Very High;M49088;X
320060;Chief of Navy;Edgar Martinez;1938;1964;LWR;Indirect Approach Doctrine;Very Low;M49029;X
320061;Chief of Air Force;Julio Ortega Frier;1942;1964;PA;Army Aviation Doctrine;Medium;M49047;X
320062;Chief of Air Force;Diego Trabajo Rúiz;1942;1964;SC;Carpet Bombing Doctrine;High;M49094;X
320063;Chief of Air Force;Frank Feliz Miranda;1933;1964;LWR;Naval Aviation Doctrine;Medium;M49030;X
320064;Head of State;Rafél Trujillo Molina;1942;1964;PA;Barking Buffoon;High;M49001;X
320065;Chief of Air Force;Edgar Martinez;1941;1964;LWR;Air Superiority Doctrine;High;M49029;X
320066;Head of State;Juan Bosch;1933;1964;LWR;Die-hard Reformer;High;M49021;X
320067;Head of Government;Jesus de Galindez;1933;1964;LWR;Flamboyant Tough Guy;High;M49013;X
320068;Head of State;Hector Trujillo Molina;1952;1964;PA;Insignificant Layman;High;M49067;X
320069;Head of Government;José Bordas Valdés;1914;1933;ML;Corporate Suit;Medium;unknown;X
320070;Head of Government;Ramón Báez Machado;1914;1933;ML;Naive Optimist;Medium;unknown;X
320071;Head of Government;Juan Isidro Jimenes;1914;1933;SL;Political Protege;Medium;unknown;X
320072;Head of Government;Francisco Henríquez;1916;1933;ML;Smiling Oilman;Medium;unknown;X
320073;Head of State;José Bordas Valdés;1914;1933;ML;Weary Stiffneck;Medium;unknown;X
320074;Head of State;Ramón Báez Machado;1914;1933;ML;Popular Figurehead;Medium;unknown;X
320075;Head of State;Juan Isidro Jimenes;1914;1933;SL;Insignificant Layman;Medium;unknown;X
320076;Head of State;Francisco Henríquez;1916;1933;ML;Barking Buffoon;Medium;unknown;X
320077;Head of State;Joaquin Balaguer Ricardo;1960;2003;PA;Resigned Generalissimo;Medium;DOM - Joaquin Balaguer;X
320078;Head of State;Rafael Filiberto Bonnelly;1962;1980;PA;Benevolent Gentleman;Medium;DOM - Rafael Filiberto Bonnelly;X
320079;Head of State;Juan Bosch Gaviño;1963;2002;SD;Weary Stiffneck;Medium;DOM - Juan Bosch;X
320080;Head of State;Elias Wessin Wessin;1963;2010;PA;Insignificant Layman;Medium;DOM - Elias Wessin;X
320081;Head of State;Héctor García-Godoy;1965;1971;PA;Powerhungry Demagogue;Medium;DOM - Héctor Garcia-Godoy;X
320082;Head of State;Joaquin Balaguer Ricardo;1966;2003;SC;Resigned Generalissimo;Medium;DOM - Joaquin Balaguer;X
320083;Head of State;Antonio Guzmán Fernández;1978;1983;SL;Powerhungry Demagogue;Medium;DOM - Antonio Guzmán Fernández;X
320084;Head of State;Salvador Jorge Blanco;1982;2011;SD;Weary Stiffneck;Medium;DOM - Salvador Jorge Blanco;X
320085;Head of State;Leonel Fernández Renya;1996;2020;SL;Benevolent Gentleman;Medium;DOM - Leonel Fernández;X
320086;Head of State;Viriato Fiallo Rodríguez;1962;1984;SC;Die-hard Reformer;Medium;DOM - Viriato Fiallo;X
320087;Head of State;Francisco Lora González;1970;1994;SL;Insignificant Layman;Medium;DOM - Francisco Lora González;X
320088;Head of State;Luis Lajara Burgos;1974;1995;SL;Resigned Generalissimo;Medium;DOM - Luis Lajara Burgos;X
320089;Head of State;José Peña Gómez;1994;1999;SD;Autocratic Charmer;Medium;DOM - José Peña Gómez;X
320090;Head of State;Juan Bosch Gaviño;1963;2002;LWR;Weary Stiffneck;Medium;DOM - Juan Bosch;X
320091;Head of State;Narciso Isa Conde;1969;2020;LE;Barking Buffoon;Medium;DOM - Narciso Isa Conde;X
320092;Head of State;Pericles Franco Ornes;1933;1971;ST;Ruthless Dictator;Medium;DOM - Pericles Franco Ornes;X
320093;Head of Government;Hector Trujillo Molina;1952;1964;PA;Old Admiral;High;M49067;X
320094;Head of Government;Joaquin Balaguer Ricardo;1960;2003;PA;Flamboyant Tough Guy;Medium;DOM - Joaquin Balaguer;X
320095;Head of Government;Rafael Filiberto Bonnelly;1962;1980;PA;Political Protege;Medium;DOM - Rafael Filiberto Bonnelly;X
320096;Head of Government;Juan Bosch Gaviño;1963;2002;SD;Happy Amateur;Medium;DOM - Juan Bosch;X
320097;Head of Government;Elias Wessin Wessin;1963;2010;PA;Old Airmarshal;Medium;DOM - Elias Wessin;X
320098;Head of Government;Héctor García-Godoy;1965;1971;PA;Smiling Oilman;Medium;DOM - Héctor Garcia-Godoy;X
320099;Head of Government;Joaquin Balaguer Ricardo;1966;2003;SC;Flamboyant Tough Guy;Medium;DOM - Joaquin Balaguer;X
320100;Head of Government;Antonio Guzmán Fernández;1978;1983;SL;Corporate Suit;Medium;DOM - Antonio Guzmán Fernández;X
320101;Head of Government;Salvador Jorge Blanco;1982;2011;SD;Naive Optimist;Medium;DOM - Salvador Jorge Blanco;X
320102;Head of Government;Leonel Fernández Renya;1996;2020;SL;Political Protege;Medium;DOM - Leonel Fernández;X
320103;Head of Government;Viriato Fiallo Rodríguez;1962;1984;SC;Ambitious Union Boss;Medium;DOM - Viriato Fiallo;X
320104;Head of Government;Francisco Lora González;1970;1994;SL;Happy Amateur;Medium;DOM - Francisco Lora González;X
320105;Head of Government;Luis Lajara Burgos;1974;1995;SL;Old Admiral;Medium;DOM - Luis Lajara Burgos;X
320106;Head of Government;José Peña Gómez;1994;1999;SD;Ambitious Union Boss;Medium;DOM - José Peña Gómez;X
320107;Head of Government;Juan Bosch Gaviño;1963;2002;LWR;Happy Amateur;Medium;DOM - Juan Bosch;X
320108;Head of Government;Narciso Isa Conde;1969;2020;LE;Political Protege;Medium;DOM - Narciso Isa Conde;X
320109;Head of Government;Pericles Franco Ornes;1933;1971;ST;Happy Amateur;Medium;DOM - Pericles Franco Ornes;X
