Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Yagüe Blanco;13300020;UBO;1933;1933;1942;1990;2;8;4;3;0;5;0;L3467;1933;1952;x
de Azcárraga Bustamante;13300021;UBO;1933;1936;1990;1990;2;6;3072;0;0;5;1;UBO - José Luis de Azcárraga Bustamante;1933;1964;x
Etayo Elizondo;13300022;UBO;1964;1990;1990;1990;3;6;0;0;0;5;1;UBO - Carlos Etayo Elizondo;1964;1991;x
Menéndez Vives;13300023;UBO;1933;1990;1990;1990;3;5;0;0;0;5;1;UBO - Camilo Menéndez Vives;1933;1964;x
Nunez de Olaneta;13300024;UBO;1933;1990;1990;1990;3;4;1024;0;0;5;1;L3479;1933;1950;x
de Clairac de la Colina;13300025;UBO;1933;1990;1990;1990;3;6;0;0;0;5;2;UBO - José María Lamamié de Clairac;1933;1956;x
Ibarreche Arriaga;13300026;UBO;1933;1990;1990;1990;3;6;65536;0;0;5;2;unknownleader;1933;1963;x
García Morato y Castaño;13300027;UBO;1933;1990;1990;1990;;5;0;0;0;5;2;UBO - Joaquín García Morato y Castaño;1933;1964;x
Barrón Ortiz;13300028;UBO;1937;1941;1990;1990;3;5;2;1;0;5;0;L3409;1953;1953;x
Barroso Sánchez-Guerra;13300029;UBO;1938;1990;1990;1990;3;4;0;0;0;5;0;L3410;1964;1964;x
Beigbéder Atienza;13300030;UBO;1933;1939;1942;1990;3;6;1;3;0;5;0;L3411;1957;1957;x
Benjumea Burín;13300031;UBO;1937;1942;1990;1990;3;5;256;1;0;5;0;L3412;1963;1963;x
Castejón Espinosa;13300032;UBO;1933;1990;1990;1990;3;5;0;0;0;5;0;L3415;1964;1964;x
Cuesta Monereo;13300033;UBO;1933;1990;1990;1990;3;4;0;0;0;4;0;L3417;1964;1964;x
Fernández Cuesta;13300034;UBO;1937;1940;1990;1990;2;4;0;1;0;5;0;L3425;1964;1964;x
García Escámez;13300035;UBO;1933;1939;1990;1990;3;5;4;1;0;5;0;L3428;1951;1951;x
Goded Llopis;13300036;UBO;1933;1933;1990;1990;2;5;0;1;0;5;0;L3433;1964;1964;x
Millán Astray y Terreros;13300037;UBO;1933;1933;1990;1990;2;6;784;1;0;5;0;L3442;1954;1954;x
Monasterio Ituarte;13300038;UBO;1933;1990;1990;1990;3;6;4;0;0;5;0;L3444;1952;1952;x
Ríos Capapé;13300039;UBO;1937;1990;1990;1990;3;4;0;0;0;5;0;L3454;1963;1963;x
Sáenz de Buruaga;13300040;UBO;1933;1941;1990;1990;3;5;128;1;0;5;0;L3456;1960;1960;x
Ungría Jimenéz;13300041;UBO;1938;1942;1990;1990;3;5;128;1;0;5;0;L3462;1960;1960;x
Valdés Cavanilles;13300042;UBO;1933;1933;1933;1990;1;4;514;1;0;5;0;L3463;1950;1950;x
Vigón Suero-Díaz;13300043;UBO;1933;1940;1990;1990;3;5;4;1;0;5;0;L3465;1955;1955;x
Agacino Armas;13300044;UBO;1933;1939;1990;1990;3;4;2048;1;0;5;1;L3468;1960;1960;x
Barreda Terry;13300045;UBO;1933;1990;1990;1990;3;4;1024;0;0;5;1;L3469;1960;1960;x
Cervera Valderrama;13300046;UBO;1933;1933;1933;1990;1;5;0;1;0;5;1;L3471;1952;1952;x
Vierna Belondo;13300047;UBO;1937;1943;1990;1990;3;5;0;1;0;5;1;L3472;1964;1964;x
Moreno Fernández  F.;13300048;UBO;1939;1942;1945;1990;2;5;8192;2;0;5;1;L3477;1960;1960;x
Moreno Fernández  S.;13300049;UBO;1933;1933;1990;1990;2;4;0;1;0;5;1;L3478;1964;1964;x
Calderon Gaztelu;13300050;UBO;1937;1990;1990;1990;3;5;131072;0;0;5;2;L3482;1964;1964;x
de Haya Gonzalez;13300051;UBO;1933;1939;1990;1990;3;4;0;1;0;5;2;L3483;1964;1964;x
Kindelán y Duany;13300052;UBO;1933;1933;1937;1942;1;7;32768;3;0;4;2;L3486;1960;1960;x
Muñoz Jímenez-Millas;13300053;UBO;1933;1990;1990;1990;3;4;0;0;0;5;2;L3487;1964;1964;x
Rambaud Goma;13300054;UBO;1933;1940;1990;1990;3;5;0;1;0;5;2;L3488;1964;1964;x
Salas Larranzábal;13300055;UBO;1933;1990;1990;1990;3;5;4096;0;0;5;2;L3489;1964;1964;x
Vigón Suero-Díaz;13300056;UBO;1933;1937;1990;1990;2;5;0;1;0;5;2;L3490;1952;1952;x
Vives Camino;13300057;UBO;1937;1990;1990;1990;3;5;0;1;0;5;2;L3491;1964;1964;x
